ParName   Value   Gradient
MGparm[2]      9.67838 9.43367e-005
MGparm[3]       22.971 -1.43035e-005
MGparm[4]     0.718216 1.47562e-005
MGparm[5]     0.187568 2.60989e-005
MGparm[6]    0.0421874 3.94321e-006
SR_parm[1]      16.2278  0.000736732
SR_parm[6]     -4.62734   0.00028789
recdev_early(1977)  -0.00188761 -4.06933e-007
recdev_early(1978)      0.13383 1.60372e-006
recdev_early(1979)    -0.874848 1.56012e-005
recdev_early(1980)    -0.427251 3.67729e-005
recdev_early(1981)     0.552018 2.46085e-005
recdev_early(1982)      1.02207 3.73891e-005
recdev1(1983)     0.776796 3.34472e-005
recdev1(1984)    -0.253074 8.18151e-006
recdev1(1985)     0.352465 3.12666e-005
recdev1(1986)      0.83655 1.01093e-005
recdev1(1987)     0.527856 2.54275e-005
recdev1(1988)    -0.238323 1.51265e-005
recdev1(1989)    -0.241935 6.59072e-006
recdev1(1990)     0.909323 6.52872e-006
recdev1(1991)     0.652911 -1.67275e-006
recdev1(1992)        1.558 -7.14626e-006
recdev1(1993)      2.03517 6.02315e-006
recdev1(1994)      1.11881  1.1748e-007
recdev1(1995)     0.776758 1.51769e-006
recdev1(1996)      1.17217 6.95714e-006
recdev1(1997)      1.16828 2.39171e-005
recdev1(1998)    -0.377071 1.27478e-006
recdev1(1999)    -0.545145 -3.42345e-006
recdev1(2000)    0.0098429  1.7806e-005
recdev1(2001)     -1.36898 -1.0741e-005
recdev1(2002)      1.84975 1.50314e-005
recdev1(2003)      1.56541 6.32441e-006
recdev1(2004)      1.43706 1.91259e-005
recdev1(2005)     0.294861 1.28137e-005
recdev1(2006)     0.113904  1.4118e-005
recdev1(2007)    -0.663912 2.33637e-006
recdev1(2008)   -0.0934002 4.24108e-006
recdev1(2009)     0.144479 2.31421e-005
recdev1(2010)     -2.19827 -7.31685e-006
recdev1(2011)      -3.7439 -8.19666e-006
recdev1(2012)     -2.96915 -8.64028e-006
recdev1(2013)     -1.27642 -9.23616e-006
recdev1(2014)    -0.374774 -9.8547e-006
recdev1(2015)     -1.04841 -9.82185e-006
recdev1(2016)    -0.720818 -9.8824e-006
recdev1(2017)      -1.2114 -9.7809e-006
recdev1(2018)    0.0245693 -1.12614e-005
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
init_F[1]      11.2921 1.22756e-006
selparm[1]      14.0033 1.54913e-005
selparm[2]      2.29626 -8.69341e-006
selparm[3]     0.499522 -1.4289e-007
selparm[4]     0.500252 -6.9133e-009
selparm[5]      9.46417 2.02042e-008
selparm[6]      1.74164 -5.30204e-007
selparm[7]      1.59347 2.60621e-007
selparm[8]     0.500196 2.03496e-005
selparm[9]     -0.66792 5.97767e-006
selparm[10]     -1.65064 1.67506e-006
selparm[11]     -4.49007 3.19038e-007
selparm[13]      6.77905 -3.82449e-006
selparm[14]      1.70081 2.79155e-005
selparm[15]     0.616323 3.79492e-005
selparm[16]     -1.33565 2.86509e-006
selparm[17]      1.03865 4.14743e-006
selparm[18]     -1.40839 -1.32247e-006
selparm[19]     0.455257 -7.94854e-007
selparm[20]     -4.31671 -5.56669e-008
selparm[21]      8.67976 -1.15491e-006
selparm[22]      1.01016 -2.41955e-005
selparm[24]          1.9 -3.25642e-007
selparm[25]      4.17226 -3.30626e-010
selparm[26]      3.72249 8.84028e-009
selparm[27]      5.11874 -1.44982e-008
selparm[28]      3.63071 2.38379e-008
selparm[29]     0.502417 -1.59013e-007
selparm[30]      5.71573 -2.15994e-007
selparm[31]      -3.1821 5.93622e-008
selparm[32]     -1.07635 6.71763e-007
selparm[33]     -3.97399 3.51061e-005
selparm[34]     -3.25178 1.96965e-005
selparm[35]     -2.14501 3.79771e-006
selparm[36]     -1.78658 -2.43116e-006
selparm[37]     -3.30797 2.27501e-005
selparm[38]      6.33691 -5.91517e-010
selparm[39]      3.02579 2.99416e-008
selparm[40]     -5.71515  4.2776e-005
selparm[41]     0.461562 -9.53738e-007
selparm[42]      1.26412 4.57333e-007
selparm[43]     0.821607 2.35882e-006
selparm[44]      1.01842 -7.29731e-007
selparm[45]      12.6822 8.99894e-008
selparm[46]      0.93859 1.72329e-007
selparm[47]      2.12088  9.3765e-008
selparm[48]   -0.0926395 1.96891e-006
selparm[49]     0.221319 3.51535e-005
selparm[50]    -0.247252  9.8903e-006
selparm[51]     -1.47685 1.70929e-006
selparm[52]    -0.915766 9.33343e-007
selparm[53]     0.728638 2.13175e-005
selparm[54]     0.466169 1.51008e-006
selparm[55]     0.770329 1.18333e-006
selparm[56]     0.792639 5.29294e-005
selparm[57]     -6.89241 -1.33208e-007
selparm[58]     -5.89973 1.54462e-008
selparm[59]     -1.67836 6.12429e-007
selparm[60]      1.32887 -3.25668e-006
selparm[61]      1.74226 -1.52252e-005
selparm[62]     0.570357 4.83925e-007
selparm[63]      1.22443 -1.47071e-007
selparm[64]     -1.45329 -1.40257e-006
selparm[65]     -1.99414 7.23239e-006
selparm[66]    -0.839101 7.96274e-006
selparm[67]    -0.679159 2.18338e-006
selparm[68]     -1.24252 2.07332e-006
selparm[69]     -1.67898 7.55799e-006
selparm[70]     -1.88511 9.15454e-007
selparm[71]     0.837185 1.84233e-006
selparm[72]    -0.821491 5.33364e-005
selparm[73]     -1.43635 9.58299e-008
selparm[74]     -1.71319  5.3728e-010
selparm[75]      2.11267 4.55815e-007
selparm[76]     -6.48761 -4.64347e-007
selparm[77]      -1.3218 1.05339e-005
selparm[78]     -8.24582 -3.83825e-009
selparm[79]     -3.52126 1.38186e-006
selparm[80]     -1.00352 -3.26909e-007
selparm[81]     -0.68627 5.24424e-006
selparm[82]      -1.5887 6.42836e-006
selparm[83]     -1.12307 1.44948e-006
selparm[84]    -0.646722 2.23699e-006
selparm[85]     -6.93749 1.60331e-008
selparm[86]      -9.1005 -1.45242e-007
selparm[87]     -2.62741 -6.93123e-007
selparm[88]      1.78167 5.09658e-005
selparm[89]     -4.61174 1.12651e-006
selparm[90]     -5.51865 -9.03889e-007
selparm[91]      -6.1971 -6.92116e-007
selparm[92]     -5.72522 -1.31209e-005
selparm[93]     -7.63459 -4.94339e-006
selparm[94]     -7.23439 -3.80146e-007
selparm[95]     -8.11664 7.75221e-006
selparm[96]     -8.17693 5.39332e-006
selparm[97]     -6.86683 3.21959e-006
selparm[98]     -8.09609 -2.49403e-006
selparm[99]     -7.84968 -5.73999e-007
selparm[100]       -7.339  1.9706e-006
selparm[101]      -9.9991 -3.75476e-007
selparm[102]     -5.62571 -1.06522e-006
selparm[103]    0.0409614 1.98631e-007
selparm[104]     -1.55729 -2.1954e-006
selparm[105]     -1.35142 -5.00511e-006
selparm[106]     -2.33546 -2.16968e-006
selparm[107]     -1.70595 -2.86809e-006
selparm[108]     -2.31727 4.01055e-006
selparm[109]     -3.20481 2.13295e-006
selparm[110]     -1.97283 6.02353e-006
selparm[111]     -2.70121 3.80346e-006
selparm[112]     -3.03792 -8.94739e-008
selparm[113]     -3.34688 -1.09122e-009
selparm[114]     -6.81737 -6.95702e-008
selparm[115]    -0.921172 -2.11442e-006
selparm[116]     -2.30428 2.55966e-006
selparm[117]    -0.662741 8.70094e-007
selparm[118]     0.877921 -4.22128e-007
selparm[119]      1.43233 -6.87744e-006
selparm[120]     -1.39577 -3.62148e-007
selparm[121]      -1.5223 5.67094e-007
selparm[122]    -0.488661 -9.44495e-007
selparm[123]     -2.35586 7.73685e-007
selparm[124]     -2.98317 3.61884e-006
selparm[125]    -0.728487 4.47172e-006
selparm[126]      -1.5787 -3.83175e-007
selparm[127]     -1.74282 -3.21907e-006
selparm[128]       2.1346 -5.01437e-008
selparm[129]   -0.0113299 2.01477e-006
selparm[130]      -0.9925  3.3096e-006
selparm[131]      2.68849 3.14652e-006
selparm[132]      2.67879 4.93021e-006
selparm[133]      1.88744 -4.72943e-006
selparm[134]      2.67928  1.0224e-005
selparm[135]      3.49694 -1.4709e-006
selparm[136]      3.95011 2.29136e-006
selparm[137]      2.57548 5.96091e-006
selparm[138]      2.99237 8.83482e-006
selparm[139]      6.74139  1.4751e-009
selparm[140]      7.46665 1.27041e-009
selparm[141]      2.85021 2.66316e-007
selparm[143]      3.17041 -2.03463e-007
selparm[145]      1.85024  2.2549e-007
selparm[146]      10.0749  2.4453e-008
parm_dev[1](1982)      1.33544  3.5262e-006
parm_dev[1](1983)     0.241128 2.26728e-006
parm_dev[1](1984)     0.369152 1.20806e-006
parm_dev[1](1985)     0.870974  2.0051e-006
parm_dev[1](1986)     0.761567 5.61465e-007
parm_dev[1](1987)      1.16428 1.78392e-006
parm_dev[1](1988)       0.5211 1.34788e-006
parm_dev[1](1989)     0.313093 5.31608e-007
parm_dev[1](1990)    -0.967654  5.6995e-007
parm_dev[1](1991)    -0.166045 9.47417e-007
parm_dev[1](1992)    -0.107677 2.41533e-006
parm_dev[1](1993)     -1.23788 -9.09916e-007
parm_dev[1](1994)    -0.369532 -9.71821e-007
parm_dev[1](1995)     -1.93933 6.87037e-007
parm_dev[1](1996)    -0.879518 7.03592e-007
parm_dev[1](1997)    -0.546154 1.05714e-006
parm_dev[1](1998)     -1.48107 1.22629e-007
parm_dev[1](1999)     0.312274  6.1999e-007
parm_dev[1](2000)       2.0448 1.42307e-006
parm_dev[1](2001)      3.39999  1.3566e-006
parm_dev[1](2002)      2.56478  3.6746e-008
parm_dev[1](2003)      1.40693 -2.16414e-006
parm_dev[1](2004)      1.56124 8.96928e-007
parm_dev[1](2005)     -1.24537 3.70456e-008
parm_dev[1](2006)     -1.66049 -5.31812e-007
parm_dev[1](2007)     -2.84185 1.35603e-006
parm_dev[1](2008)     -5.34623 3.26735e-007
parm_dev[1](2009)      -4.1534 8.85277e-007
parm_dev[1](2010)     -1.60255 -6.62576e-007
parm_dev[1](2011)    0.0173587 -1.60205e-006
parm_dev[1](2012)     0.125118 -2.9393e-006
parm_dev[1](2013)      1.10211 -1.83527e-006
parm_dev[1](2014)      0.58384 2.94783e-007
parm_dev[1](2015)     0.617624 4.08816e-008
parm_dev[1](2016)      1.45033 -3.30504e-007
parm_dev[1](2017)      2.28636 6.48533e-007
parm_dev[1](2018)      0.58189 -2.61577e-007
parm_dev[1](2019)     0.298504 -2.63935e-007
parm_dev[2](1982)     0.820723 8.89934e-006
parm_dev[2](1983)      1.80572 8.25102e-006
parm_dev[2](1984)      2.25527 1.29096e-005
parm_dev[2](1985)     0.932928 5.96515e-006
parm_dev[2](1986)      1.96047  8.7684e-006
parm_dev[2](1987)     0.223234  4.3775e-006
parm_dev[2](1988)      1.94707 5.40332e-006
parm_dev[2](1989)    -0.660447 6.45192e-006
parm_dev[2](1990)    -0.614411 6.40622e-006
parm_dev[2](1991)      -2.6249  5.3544e-006
parm_dev[2](1992)     -1.48003 1.70469e-006
parm_dev[2](1993)     -2.36451 -3.73225e-006
parm_dev[2](1994)     -1.40873 1.30602e-006
parm_dev[2](1995)     -1.53804 3.61997e-006
parm_dev[2](1996)     -1.99136 2.31009e-006
