"Value.SSB","Value.Recr","Value.SPRratio","Value.F","Value.Bratio","Value.ForeCatch","Value.OFLCatch","Value.lnSPB","year","model_run","iteration","scenario"
1899.48,102124,NA,NA,NA,NA,NA,7.54933,"1981","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
4384.71,353580,NA,NA,NA,NA,NA,NA,"1982","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
6692.89,396085,NA,NA,NA,NA,NA,NA,"1983","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
17454.2,338177,NA,NA,NA,NA,NA,NA,"1984","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
27143,928666,NA,NA,NA,NA,NA,NA,"1985","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
30492.5,1678380,NA,NA,NA,NA,NA,NA,"1986","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
53582.7,2045130,NA,NA,NA,NA,NA,NA,"1987","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
78637.5,1315370,NA,NA,NA,NA,NA,NA,"1988","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
134307,1986460,NA,NA,NA,NA,NA,NA,"1989","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
121311,5826840,NA,NA,NA,NA,NA,NA,"1990","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
99619,3877360,NA,NA,NA,NA,NA,NA,"1991","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
102996,9838120,NA,NA,NA,NA,NA,NA,"1992","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
167357,22618500,NA,NA,NA,NA,NA,NA,"1993","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
266872,12136900,NA,NA,NA,NA,NA,NA,"1994","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
553976,12275300,NA,NA,NA,NA,NA,NA,"1995","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
799956,20741900,NA,NA,NA,NA,NA,NA,"1996","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
864301,21150200,NA,NA,NA,NA,NA,NA,"1997","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
898362,4560870,NA,NA,NA,NA,NA,NA,"1998","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
1043900,4015480,NA,NA,NA,NA,NA,NA,"1999","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
1004250,6924520,NA,NA,NA,NA,NA,NA,"2000","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
770852,1615030,NA,NA,NA,NA,NA,NA,"2001","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
592378,36835300,NA,NA,NA,NA,NA,NA,"2002","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
419139,23972200,NA,NA,NA,NA,NA,12.946,"2003","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
504355,22870700,NA,NA,NA,NA,NA,NA,"2004","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
750567,8453820,NA,NA,NA,NA,NA,NA,"2005","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
881944,7412550,NA,NA,NA,NA,NA,NA,"2006","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
835062,3350830,NA,NA,NA,NA,NA,NA,"2007","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
677818,5540830,NA,NA,NA,NA,NA,NA,"2008","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
477283,6134450,NA,NA,NA,NA,NA,NA,"2009","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
345603,506318,NA,NA,NA,NA,NA,NA,"2010","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
346689,108109,NA,NA,NA,NA,NA,NA,"2011","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
217744,180219,NA,NA,NA,NA,NA,NA,"2012","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
95964.5,546857,NA,NA,NA,NA,NA,NA,"2013","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
45110.8,712778,NA,NA,NA,NA,NA,NA,"2014","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
40038.1,326635,NA,NA,NA,NA,NA,NA,"2015","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
60118.2,648044,NA,NA,NA,NA,NA,NA,"2016","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
56373.6,412264,NA,NA,NA,NA,NA,NA,"2017","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
46199,1733540,NA,NA,NA,NA,NA,NA,"2018","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
43144.5,1591590,NA,NA,NA,NA,NA,NA,"2019","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
61061.9,352248,NA,NA,NA,NA,NA,NA,"2020","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
95416.3,2215070,NA,NA,NA,NA,NA,NA,"2021","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
94079.1,4872660,NA,NA,NA,NA,NA,NA,"2022","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
115278,190691,NA,NA,NA,NA,NA,NA,"2023","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
198068,4361200,NA,NA,NA,NA,NA,NA,"2024","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
171854,4284890,0.513578,0.580767,0.159031,NA,NA,12.0544,"2025","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
132440,4000130,NA,NA,NA,53194,112290,NA,"2026","0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
1516.12,116321,0.28271,0.0949966,0.00148862,NA,NA,7.32391,"1981","cohortGrowthOMandEM_EM_2020","1","cohortGrowthself_compNsamp"
3935.52,344620,0.293775,0.281682,0.00386415,NA,NA,NA,"1982","cohortGrowthOMandEM_EM_2020","1","cohortGrowthself_compNsamp"
6566.28,438762,0.098289,0.134477,0.00644721,NA,NA,NA,"1983","cohortGrowthOMandEM_EM_2020","1","cohortGrowthself_compNsamp"
16632.1,359729,0.32298,0.61265,0.0163305,NA,NA,NA,"1984","cohortGrowthOMandEM_EM_2020","1","cohortGrowthself_compNsamp"
26965,1138500,0.11878,0.189064,0.026476,NA,NA,NA,"1985","cohortGrowthOMandEM_EM_2020","1","cohortGrowthself_compNsamp"
33180,2385670,0.118415,0.192464,0.0325783,NA,NA,NA,"1986","cohortGrowthOMandEM_EM_2020","1","cohortGrowthself_compNsamp"
59587.8,2830500,0.198445,0.24817,0.0585072,NA,NA,NA,"1987","cohortGrowthOMandEM_EM_2020","1","cohortGrowthself_compNsamp"
97251.8,1210250,0.113081,0.0992269,0.0954882,NA,NA,NA,"1988","cohortGrowthOMandEM_EM_2020","1","cohortGrowthself_compNsamp"
166433,2691280,0.196674,0.200854,0.163415,NA,NA,NA,"1989","cohortGrowthOMandEM_EM_2020","1","cohortGrowthself_compNsamp"
158126,4866970,0.204728,0.265539,0.155259,NA,NA,NA,"1990","cohortGrowthOMandEM_EM_2020","1","cohortGrowthself_compNsamp"
131385,3667800,0.323313,0.441823,0.129003,NA,NA,NA,"1991","cohortGrowthOMandEM_EM_2020","1","cohortGrowthself_compNsamp"
129259,6902590,0.611579,0.771433,0.126915,NA,NA,NA,"1992","cohortGrowthOMandEM_EM_2020","1","cohortGrowthself_compNsamp"
171328,16875700,0.104405,0.130495,0.168221,NA,NA,NA,"1993","cohortGrowthOMandEM_EM_2020","1","cohortGrowthself_compNsamp"
