"Value.SSB","Value.Recr","Value.SPRratio","Value.F","Value.Bratio","Value.ForeCatch","Value.OFLCatch","Value.lnSPB","year","model_run","iteration","scenario"
1899.48,102124,NA,NA,NA,NA,NA,7.54933,"1981","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
4384.71,353580,NA,NA,NA,NA,NA,NA,"1982","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
6692.89,396085,NA,NA,NA,NA,NA,NA,"1983","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
17454.2,338177,NA,NA,NA,NA,NA,NA,"1984","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
27143,928666,NA,NA,NA,NA,NA,NA,"1985","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
30492.5,1678380,NA,NA,NA,NA,NA,NA,"1986","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
53582.7,2045130,NA,NA,NA,NA,NA,NA,"1987","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
78637.5,1315370,NA,NA,NA,NA,NA,NA,"1988","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
134307,1986460,NA,NA,NA,NA,NA,NA,"1989","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
121311,5826840,NA,NA,NA,NA,NA,NA,"1990","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
99619,3877360,NA,NA,NA,NA,NA,NA,"1991","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
102996,9838120,NA,NA,NA,NA,NA,NA,"1992","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
167357,22618500,NA,NA,NA,NA,NA,NA,"1993","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
266872,12136900,NA,NA,NA,NA,NA,NA,"1994","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
553976,12275300,NA,NA,NA,NA,NA,NA,"1995","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
799956,20741900,NA,NA,NA,NA,NA,NA,"1996","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
864301,21150200,NA,NA,NA,NA,NA,NA,"1997","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
898362,4560870,NA,NA,NA,NA,NA,NA,"1998","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
1043900,4015480,NA,NA,NA,NA,NA,NA,"1999","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
1004250,6924520,NA,NA,NA,NA,NA,NA,"2000","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
770852,1615030,NA,NA,NA,NA,NA,NA,"2001","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
592378,36835300,NA,NA,NA,NA,NA,NA,"2002","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
419139,23972200,NA,NA,NA,NA,NA,12.946,"2003","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
504355,22870700,NA,NA,NA,NA,NA,NA,"2004","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
750567,8453820,NA,NA,NA,NA,NA,NA,"2005","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
881944,7412550,NA,NA,NA,NA,NA,NA,"2006","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
835062,3350830,NA,NA,NA,NA,NA,NA,"2007","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
677818,5540830,NA,NA,NA,NA,NA,NA,"2008","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
477283,6134450,NA,NA,NA,NA,NA,NA,"2009","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
345603,506318,NA,NA,NA,NA,NA,NA,"2010","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
346689,108109,NA,NA,NA,NA,NA,NA,"2011","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
217744,180219,NA,NA,NA,NA,NA,NA,"2012","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
95964.5,546857,NA,NA,NA,NA,NA,NA,"2013","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
45110.8,712778,NA,NA,NA,NA,NA,NA,"2014","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
40038.1,326635,NA,NA,NA,NA,NA,NA,"2015","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
60118.2,648044,NA,NA,NA,NA,NA,NA,"2016","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
56373.6,412264,NA,NA,NA,NA,NA,NA,"2017","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
46199,1733540,NA,NA,NA,NA,NA,NA,"2018","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
43144.5,1591590,NA,NA,NA,NA,NA,NA,"2019","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
61061.9,1730100,NA,NA,NA,NA,NA,NA,"2020","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
95824,2968870,NA,NA,NA,NA,NA,NA,"2021","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
113820,3048490,NA,NA,NA,NA,NA,NA,"2022","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
159677,552733,NA,NA,NA,NA,NA,NA,"2023","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
150444,6314270,NA,NA,NA,NA,NA,NA,"2024","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
100805,205394,0.512361,0.562834,0.0932839,NA,NA,11.5209,"2025","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
162938,4634360,NA,NA,NA,55845,137562,NA,"2026","0_estimate_cohort_growh_OM","2","cohortGrowthselftest"
532.814,113337,0.224156,0.266077,0.000400349,NA,NA,6.27817,"1981","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
1475.43,249920,0.510378,0.739484,0.00110862,NA,NA,NA,"1982","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
4185.29,486036,0.192548,0.237231,0.00314477,NA,NA,NA,"1983","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
12283,457520,0.402308,0.868875,0.00922929,NA,NA,NA,"1984","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
24225.5,1227560,0.169425,0.211222,0.0182027,NA,NA,NA,"1985","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
34547.6,2692930,0.129791,0.182581,0.0259585,NA,NA,NA,"1986","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
64571.5,3284920,0.209208,0.227685,0.048518,NA,NA,NA,"1987","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
107585,1501840,0.112613,0.0897396,0.0808378,NA,NA,NA,"1988","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
191078,2576200,0.184428,0.177355,0.143573,NA,NA,NA,"1989","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
186730,6107430,0.178225,0.227061,0.140306,NA,NA,NA,"1990","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
158796,4912040,0.286975,0.387637,0.119317,NA,NA,NA,"1991","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
167146,7508180,0.502489,0.645035,0.125591,NA,NA,NA,"1992","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
227600,17963700,0.0804472,0.0969359,0.171015,NA,NA,NA,"1993","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
293965,12792500,0.218949,0.291842,0.220881,NA,NA,NA,"1994","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
488617,15327200,0.119892,0.124654,0.36714,NA,NA,NA,"1995","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
695396,17679400,0.0820512,0.0906618,0.52251,NA,NA,NA,"1996","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
824040,17626700,0.0862238,0.0892951,0.619171,NA,NA,NA,"1997","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
902936,5135790,0.173646,0.16771,0.678452,NA,NA,NA,"1998","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
992766,4419980,0.161163,0.141821,0.74595,NA,NA,NA,"1999","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
914373,6255600,0.199758,0.168468,0.687046,NA,NA,13.726,"2000","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
703669,1489250,0.295474,0.214964,0.528726,NA,NA,NA,"2001","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
532288,37429100,0.406788,0.305147,0.399953,NA,NA,NA,"2002","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
383798,23639800,0.325556,0.353581,0.28838,NA,NA,NA,"2003","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
501371,23353800,0.312994,0.215921,0.376723,NA,NA,NA,"2004","cohortGrowthOMandEM_EM_2020","2","cohortGrowthselftest"
