"Value.SSB","Value.Recr","Value.SPRratio","Value.F","Value.Bratio","Value.ForeCatch","Value.OFLCatch","Value.lnSPB","year","model_run","iteration","scenario"
1899.48,102124,NA,NA,NA,NA,NA,7.54933,"1981","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
4384.71,353580,NA,NA,NA,NA,NA,NA,"1982","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
6692.89,396085,NA,NA,NA,NA,NA,NA,"1983","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
17454.2,338177,NA,NA,NA,NA,NA,NA,"1984","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
27143,928666,NA,NA,NA,NA,NA,NA,"1985","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
30492.5,1678380,NA,NA,NA,NA,NA,NA,"1986","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
53582.7,2045130,NA,NA,NA,NA,NA,NA,"1987","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
78637.5,1315370,NA,NA,NA,NA,NA,NA,"1988","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
134307,1986460,NA,NA,NA,NA,NA,NA,"1989","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
121311,5826840,NA,NA,NA,NA,NA,NA,"1990","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
99619,3877360,NA,NA,NA,NA,NA,NA,"1991","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
102996,9838120,NA,NA,NA,NA,NA,NA,"1992","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
167357,22618500,NA,NA,NA,NA,NA,NA,"1993","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
266872,12136900,NA,NA,NA,NA,NA,NA,"1994","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
553976,12275300,NA,NA,NA,NA,NA,NA,"1995","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
799956,20741900,NA,NA,NA,NA,NA,NA,"1996","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
864301,21150200,NA,NA,NA,NA,NA,NA,"1997","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
898362,4560870,NA,NA,NA,NA,NA,NA,"1998","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
1043900,4015480,NA,NA,NA,NA,NA,NA,"1999","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
1004250,6924520,NA,NA,NA,NA,NA,NA,"2000","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
770852,1615030,NA,NA,NA,NA,NA,NA,"2001","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
592378,36835300,NA,NA,NA,NA,NA,NA,"2002","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
419139,23972200,NA,NA,NA,NA,NA,NA,"2003","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
504355,22870700,NA,NA,NA,NA,NA,NA,"2004","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
750567,8453820,NA,NA,NA,NA,NA,13.5286,"2005","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
881944,7412550,NA,NA,NA,NA,NA,NA,"2006","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
835062,3350830,NA,NA,NA,NA,NA,NA,"2007","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
677818,5540830,NA,NA,NA,NA,NA,NA,"2008","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
477283,6134450,NA,NA,NA,NA,NA,NA,"2009","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
345603,506318,NA,NA,NA,NA,NA,NA,"2010","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
346689,108109,NA,NA,NA,NA,NA,NA,"2011","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
217744,180219,NA,NA,NA,NA,NA,NA,"2012","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
95964.5,546857,NA,NA,NA,NA,NA,NA,"2013","0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
