ParName   Value   Gradient
MGparm[2]      9.06795 -4.53162e-006
MGparm[3]      22.4315 -6.10023e-006
MGparm[4]     0.631427 -2.52954e-006
MGparm[5]     0.204802 -4.47732e-007
MGparm[6]    0.0594001 9.23222e-008
SR_parm[1]      15.5349 -3.45795e-005
SR_parm[6]    -0.415536 -1.47376e-006
recdev_early(1994)    0.0747906 -5.91132e-007
recdev_early(1995)     0.635433 -5.51354e-008
recdev_early(1996)      1.51009 -1.24508e-007
recdev_early(1997)      1.52841 6.26658e-007
recdev_early(1998)    -0.203647 3.85703e-007
recdev_early(1999)     0.178947 4.38601e-007
recdev1(2000)      1.25868 4.88124e-007
recdev1(2001)    -0.569902 5.14758e-007
recdev1(2002)      2.18123 -1.2468e-006
recdev1(2003)      1.54507 1.17321e-007
recdev1(2004)      1.66063 -1.06153e-006
recdev1(2005)     0.632881 3.30053e-007
recdev1(2006)     0.408447 -2.05977e-007
recdev1(2007)    -0.132658 7.36872e-008
recdev1(2008)     0.520207 -3.59425e-007
recdev1(2009)     0.307977 -1.91956e-006
recdev1(2010)     -1.98063 4.85135e-007
recdev1(2011)     -3.18095 5.11144e-007
recdev1(2012)     -2.58346 -2.31214e-007
recdev1(2013)     -1.01667 -4.56177e-007
recdev1(2014)     0.280835  3.7823e-007
recdev1(2015)    0.0550486  1.1294e-006
recdev1(2016)     0.109806 1.27262e-006
recdev1(2017)    -0.753713  1.0708e-006
recdev1(2018)      1.25717 2.36921e-007
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
init_F[1]     0.620213 1.55806e-008
F_rate[1]  0.000562007 -9.77078e-006
F_rate[2]   0.00628839 3.68065e-006
F_rate[3]    0.0173862 1.71766e-006
F_rate[4]   0.00627466 -4.03031e-006
F_rate[5]    0.0679167 -1.88558e-008
F_rate[6]    0.0316105 -9.52811e-007
F_rate[7]     0.181935 -1.55594e-006
F_rate[8]     0.176646 -1.28401e-006
F_rate[9]     0.591151 -3.04478e-007
F_rate[10]     0.507964 -3.7659e-007
F_rate[11]      2.13807 -1.26106e-007
F_rate[12]            4 -8.55748e-008
F_rate[13]    0.0794461 1.26413e-006
F_rate[14]      0.80086 -5.58611e-007
F_rate[15]     0.577165 2.13498e-007
F_rate[16]      1.20696 -2.03109e-007
F_rate[17]      1.26048 -1.71209e-007
F_rate[18]      1.12731 2.79347e-007
F_rate[19]      0.59059 4.92102e-007
F_rate[20]      1.06918 -2.19334e-007
F_rate[21]      1.03086 -2.38971e-007
F_rate[22]      1.49211 -1.09112e-007
F_rate[23]     0.875254 2.46042e-008
F_rate[24]     0.847877 -1.41876e-007
F_rate[25]     0.322168 6.44484e-008
F_rate[26]     0.551922 5.16935e-007
F_rate[27]      1.39069 1.83765e-007
F_rate[28]      1.56598 4.54561e-007
F_rate[29]      1.12573 6.74947e-007
F_rate[30]      1.15856 5.56306e-008
F_rate[31]      2.36142 1.17005e-007
F_rate[32]     0.219056 1.36417e-007
F_rate[33]     0.474166 9.32079e-007
F_rate[34]      3.31454 2.77399e-008
F_rate[35]     0.010326 -5.74664e-006
F_rate[36]     0.221905 2.72384e-007
F_rate[37]     0.104318 7.12556e-007
F_rate[38]    0.0218219 1.66057e-006
F_rate[39]    0.0863748 1.57945e-006
F_rate[40]  0.000653631  8.3839e-006
F_rate[41]   0.00437328  2.5308e-006
F_rate[42]   0.00166106 3.61869e-006
F_rate[43]     0.036095 4.63029e-007
F_rate[44]    0.0104525 1.93983e-006
F_rate[45]    0.0230376 -6.39994e-007
F_rate[46]    0.0367488 -3.65814e-009
F_rate[47]    0.0263335 2.95893e-007
F_rate[48]    0.0817805 3.19332e-008
F_rate[49]     0.149784 2.44123e-007
F_rate[50]     0.112644 9.74821e-008
F_rate[51]     0.373159 1.03484e-007
F_rate[52]     0.131807 -1.02306e-007
F_rate[53]     0.459768 1.34886e-007
F_rate[54]     0.321503 -1.95726e-008
F_rate[55]     0.242038 -2.0438e-007
F_rate[56]     0.225224 -2.94884e-008
F_rate[57]      0.37058 8.19517e-007
F_rate[58]     0.317197 2.35203e-007
F_rate[59]     0.292537 5.62081e-007
F_rate[60]     0.412117 3.57039e-006
F_rate[61]     0.385638 -5.01754e-007
F_rate[62]     0.187529 -1.8634e-006
F_rate[63]    0.0923539 -1.30865e-006
F_rate[64]     0.112498 -5.4835e-007
F_rate[65]     0.134188 1.39898e-006
F_rate[66]     0.226444 -2.15395e-007
F_rate[67]     0.288814 -3.25111e-006
F_rate[68]     0.344799 -3.35371e-007
F_rate[69]     0.299042 -1.00997e-008
F_rate[70]      0.34399 1.68362e-008
F_rate[71]     0.449064 2.54895e-007
F_rate[72]      0.51601 7.70601e-007
F_rate[73]     0.155636 -2.22471e-006
F_rate[74]    0.0232146 2.61166e-007
F_rate[75]     0.614076 -1.33407e-007
F_rate[76]     0.515484 4.30284e-007
F_rate[77]     0.942261 -1.91512e-007
F_rate[78]     0.738159 -6.38581e-007
F_rate[79] 5.09865e-005 3.36667e-007
