"Seas","SpawnBio","Recruit_0","retainB_1","retainN_1","retainB_2","retainN_2","retainB_3","retainN_3","deadB_1","deadN_1","deadB_2","deadN_2","deadB_3","deadN_3","F_1","F_2","F_3","SPRratio","rec_dev","raw_rec_dev","year","model_run","iteration","scenario"
1,NA,0,5.77992,58.1395,0,0,0,0,5.77992,58.1395,0,0,0,0,0.657749,0,0,0,-2.3192,-2.3192,1981,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,958.886,0,0,0,57.15,577.547,0,0,0,0,57.15,577.547,0,0,0,1.09585,0,0,NA,NA,1981,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,354563,73.9397,656.883,0,0,0,0,73.9397,656.883,0,0,0,0,2.09188,0,0,0,-1.67708,-1.67708,1982,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,2206.04,0,0,0,412.76,3926.68,0,0,0,0,412.76,3926.68,0,0,0,3.17783,0,0,NA,NA,1982,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,635998,213.189,3088.39,0,0,0,0,213.189,3088.39,0,0,0,0,0.148693,0,0,0,-1.41331,-1.41331,1983,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,7233.05,0,0,0,159.12,1581.62,0,0,0,0,159.12,1581.62,0,0,0,0.362423,0,0,NA,NA,1983,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,781453,75.39,962.677,0,0,0,0,75.39,962.677,0,0,0,0,0.0143568,0,0,0,-1.27815,-1.27815,1984,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,18123.6,0,0,0,3517.68,35271,0,0,0,0,3517.68,35271,0,0,0,3.75679,0,0,NA,NA,1984,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,844301,819.43,10481.3,0,0,0,0,819.43,10481.3,0,0,0,0,0.087002,0,0,0,-0.354417,-0.354417,1985,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,28289.4,0,0,0,1019,8620.79,0,0,0,0,1019,8620.79,0,0,0,0.330379,0,0,NA,NA,1985,"constGrowth_test2_OM","1","constGrowth_compNsamp"
