"year","seas","fleet","catch_target","F_target","catch_implemented","F_implemented","catch_achieved_1","F_achieved_1","F_update_1","catch_achieved_2","F_achieved_2","F_update_2","catch_achieved_3","F_achieved_3","F_update_3","catch_achieved_4","F_achieved_4","F_update_4","catch_achieved_5","F_achieved_5","F_update_5","catch_achieved_6","F_achieved_6","F_update_6","catch_achieved_7","F_achieved_7","F_update_7","catch_achieved_8","F_achieved_8","F_update_8","catch_achieved_9","F_achieved_9","F_update_9","catch_achieved_10","F_achieved_10","F_update_10","catch_achieved_11","F_achieved_11","F_update_11","catch_achieved_12","F_achieved_12","F_update_12","catch_achieved_13","F_achieved_13","F_update_13","catch_achieved_14","F_achieved_14","F_update_14","catch_achieved_15","F_achieved_15","F_update_15","catch_achieved_16","F_achieved_16","F_update_16","catch_achieved_17","F_achieved_17","F_update_17","catch_achieved_18","F_achieved_18","F_update_18","catch_achieved_19","F_achieved_19","F_update_19","catch_achieved_20","F_achieved_20","F_update_20"
2020,1,1,0.000802977,0.01,0.000802977,0.01,8.35021,0.01,4.16821503953768e-05,0.0348504,4.16822e-05,5.15781299092226e-06,0.00431248,5.15781e-06,1.82104234648022e-06,0.00152259,1.82104e-06,1.07764806872374e-06,0.00090103,1.07765e-06,9.78316998352015e-07,0.000817979,9.78317e-07,9.61277008039286e-07,0.000803732,9.61277e-07,9.60593531126999e-07,0.00080316,9.60594e-07,9.60403559967607e-07,0.000803001,9.60404e-07,9.60381579844134e-07,0.000802983,9.60382e-07,9.60376283819254e-07,0.000802978,9.60376e-07,9.60374804298964e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,2,2,0.0820939,0.01,0.0820939,0.01,14.0036,0.01,0.000990548614276249,1.39253,0.000990549,0.00011004024551049,0.154726,0.00011004,6.54900753057953e-05,0.0920855,6.54901e-05,5.94165658814739e-05,0.0835457,5.94166e-05,5.86019245754408e-05,0.0824002,5.86019e-05,5.83876172061903e-05,0.0820989,5.83876e-05,5.83842112528542e-05,0.0820941,5.83842e-05,5.83840923438952e-05,0.0820939,5.83841e-05,5.83841e-05,0.0820939,5.83841e-05,5.83841e-05,0.0820939,5.83841e-05,5.83841e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,1,3,1.12412e-05,0.01,1.12412e-05,0.01,2.60982,0.01,0.000740789610958995,0.193756,0.00074079,0.000130628836003822,0.0341709,0.000130629,3.26822354695808e-06,0.000854951,3.26822e-06,4.77310194103935e-07,0.000124862,4.7731e-07,9.35027744033812e-08,2.44599e-05,9.35028e-08,5.18620130262062e-08,1.35668e-05,5.1862e-08,4.46341330391761e-08,1.16761e-05,4.46341e-08,4.31941442951157e-08,1.12994e-05,4.31941e-08,4.30163232563526e-08,1.12529e-05,4.30163e-08,4.29787964249938e-08,1.1243e-05,4.29788e-08,4.29729456001087e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,2,3,5.50965e-06,0.01,5.50965e-06,0.01,1.96962,0.01,0.000904377565273498,0.179348,0.000904378,2.83587949887779e-06,0.000562661,2.83588e-06,5.55906316144376e-07,0.000110303,5.55906e-07,5.37071075241163e-08,1.06566e-05,5.37071e-08,2.88281425410942e-08,5.72008e-06,2.88281e-08,2.79486054676371e-08,5.54556e-06,2.79486e-08,2.77919004057473e-08,5.51447e-06,2.77919e-08,2.77677438633209e-08,5.50967e-06,2.77677e-08,2.77676100985793e-08,5.50965e-06,2.77676e-08,2.77676e-08,5.50965e-06,2.77676e-08,2.77676e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,1,1,0.00244388,0.01,0.00244388,0.01,21.1626,0.01,8.51348017993847e-05,0.18053,8.51348e-05,5.21486900782523e-06,0.0110587,5.21487e-06,1.79499240558016e-06,0.00380648,1.79499e-06,1.1710922276844e-06,0.00248343,1.17109e-06,1.15684255553376e-06,0.00245322,1.15684e-06,1.15329597232887e-06,0.0024457,1.1533e-06,1.15253211987314e-06,0.00244408,1.15253e-06,1.1524482295938e-06,0.0024439,1.15245e-06,1.15244206967545e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2,2,0.151901,0.01,0.151901,0.01,29.0075,0.01,0.00033392857088285,0.972628,0.000333929,7.71727714156723e-05,0.2248,7.71728e-05,5.44752344740773e-05,0.158685,5.44752e-05,5.23430546270174e-05,0.152474,5.23431e-05,5.21825294449178e-05,0.152007,5.21825e-05,5.21495864011478e-05,0.151911,5.21496e-05,5.21461870761106e-05,0.151901,5.21462e-05,5.21462e-05,0.151901,5.21462e-05,5.21462e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,1,3,3.17837e-05,0.01,3.17837e-05,0.01,2.83868,0.01,0.00210530928135729,0.598864,0.00210531,0.000300980283673955,0.0856365,0.00030098,5.23575395303168e-05,0.0148975,5.23575e-05,5.26428812826648e-06,0.00149788,5.26429e-06,3.8666520063066e-07,0.00011002,3.86665e-07,1.54621752528488e-07,4.39956e-05,1.54622e-07,1.12537467858364e-07,3.2021e-05,1.12537e-07,1.11704829880533e-07,3.17841e-05,1.11705e-07,1.11703879070487e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2,3,1.73123e-05,0.01,1.73123e-05,0.01,2.30881,0.01,0.000666976211814374,0.154986,0.000666976,0.00015300302507392,0.035574,0.000153003,2.01363474545919e-05,0.0046822,2.01363e-05,3.33481166009407e-06,0.000775439,3.33481e-06,1.43729614036968e-07,3.34213e-05,1.4373e-07,8.87841365337109e-08,2.06449e-05,8.87841e-08,7.46551094933634e-08,1.73595e-05,7.46551e-08,7.45010205941465e-08,1.73236e-05,7.4501e-08,7.44586397435132e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,1,1,0.0167609,0.01,0.0167609,0.01,48.4249,0.01,0.00237506143934736,11.5138,0.00237506,0.000273250372185033,1.32501,0.00027325,6.32900507975536e-05,0.306905,6.32901e-05,1.57867099534994e-05,0.076553,1.57867e-05,5.97685867067874e-06,0.0289831,5.97686e-06,3.81096640705349e-06,0.0184802,3.81097e-06,3.52760750724377e-06,0.0171061,3.52761e-06,3.47085351451163e-06,0.0168309,3.47085e-06,3.45673854171085e-06,0.0167625,3.45674e-06,3.45645768180499e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,2,2,1.44337,0.01,1.44337,0.01,194.49,0.01,0.000491180783470777,9.56809,0.000491181,0.000140092067401504,2.72952,0.000140092,8.17181335642816e-05,1.59221,8.17181e-05,7.55830833239947e-05,1.47268,7.55831e-05,7.4225489646961e-05,1.44623,7.42255e-05,7.41013764804763e-05,1.44381,7.41014e-05,7.4080939548042e-05,1.44341,7.40809e-05,7.4079148634992e-05,1.44338,7.40791e-05,7.40786082075876e-05,1.44337,7.40786e-05,7.40786e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,1,3,0.000458879,0.01,0.000458879,0.01,6.33306,0.01,0.000242023932779888,0.153559,0.000242024,3.46285376491992e-05,0.0219771,3.46285e-05,5.67112399902568e-06,0.00359929,5.67112e-06,1.45046764701584e-06,0.000920573,1.45047e-06,8.91430407313577e-07,0.000565768,8.9143e-07,7.54351130773523e-07,0.000478767,7.54351e-07,7.30808575362954e-07,0.000463825,7.30809e-07,7.23807733530862e-07,0.000459382,7.23808e-07,7.23182440926343e-07,0.000458985,7.23182e-07,7.23032476047113e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
