"year","seas","fleet","catch_target","F_target","catch_implemented","F_implemented","catch_achieved_1","F_achieved_1","F_update_1","catch_achieved_2","F_achieved_2","F_update_2","catch_achieved_3","F_achieved_3","F_update_3","catch_achieved_4","F_achieved_4","F_update_4","catch_achieved_5","F_achieved_5","F_update_5","catch_achieved_6","F_achieved_6","F_update_6","catch_achieved_7","F_achieved_7","F_update_7","catch_achieved_8","F_achieved_8","F_update_8","catch_achieved_9","F_achieved_9","F_update_9","catch_achieved_10","F_achieved_10","F_update_10","catch_achieved_11","F_achieved_11","F_update_11","catch_achieved_12","F_achieved_12","F_update_12","catch_achieved_13","F_achieved_13","F_update_13","catch_achieved_14","F_achieved_14","F_update_14","catch_achieved_15","F_achieved_15","F_update_15","catch_achieved_16","F_achieved_16","F_update_16","catch_achieved_17","F_achieved_17","F_update_17","catch_achieved_18","F_achieved_18","F_update_18","catch_achieved_19","F_achieved_19","F_update_19","catch_achieved_20","F_achieved_20","F_update_20"
2020,1,1,0.000789071,0.01,0.000789071,0.01,8.35021,0.01,0.00193136388457908,1.61443,0.00193136,0.00036325206531317,0.303704,0.000363252,6.33393306592314e-05,0.0529581,6.33393e-05,7.09410680526745e-06,0.00593144,7.09411e-06,1.64336158766164e-06,0.00137403,1.64336e-06,1.09761771455892e-06,0.000917727,1.09762e-06,9.8132952108442e-07,0.000820498,9.8133e-07,9.50643481287488e-07,0.000794841,9.50643e-07,9.44131503216034e-07,0.000789396,9.44132e-07,9.43746117730207e-07,0.000789074,9.43746e-07,9.43742849451084e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,2,2,0.0783792,0.01,0.0783792,0.01,14.0036,0.01,0.0018094273050868,2.54234,0.00180943,0.000368286878669848,0.517777,0.000368287,0.000122589670873608,0.172369,0.00012259,5.92682830402578e-05,0.0833371,5.92683e-05,5.63605684646608e-05,0.0792487,5.63606e-05,5.57780032685504e-05,0.0784295,5.5778e-05,5.57491717447325e-05,0.078389,5.57492e-05,5.57423568826024e-05,0.0783794,5.57424e-05,5.5742259436642e-05,0.0783793,5.57423e-05,5.57422320171994e-05,0.0783792,5.57422e-05,5.57422e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,1,3,1.09171e-05,0.01,1.09171e-05,0.01,2.60982,0.01,0.00157857330266766,0.41279,0.00157857,0.000364814688916027,0.0954256,0.000364815,8.83018598989659e-05,0.0230989,8.83019e-05,8.21447911506113e-06,0.00214886,8.21448e-06,1.15358631062597e-06,0.000301772,1.15359e-06,1.11517565507118e-07,2.91724e-05,1.11518e-07,5.51088046447801e-08,1.44162e-05,5.51088e-08,4.21898133894883e-08,1.10366e-05,4.21898e-08,4.18331356273757e-08,1.09433e-05,4.18331e-08,4.17562575125118e-08,1.09232e-05,4.17563e-08,4.17384768918552e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,2,3,5.42341e-06,0.01,5.42341e-06,0.01,1.96962,0.01,0.000764591526532037,0.151556,0.000764592,0.000187383773333344,0.0371721,0.000187384,1.64594195285005e-05,0.00326572,1.64594e-05,1.0212137486821e-06,0.000202628,1.02121e-06,5.8369275914724e-08,1.15816e-05,5.83693e-08,3.01465514785007e-08,5.98168e-06,3.01466e-08,2.76345396859333e-08,5.48324e-06,2.76345e-08,2.73926506731088e-08,5.43525e-06,2.73927e-08,2.73416427968931e-08,5.42513e-06,2.73416e-08,2.73343186987154e-08,5.42367e-06,2.73343e-08,2.73330724207491e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,1,1,0.00467537,0.01,0.00467537,0.01,20.6715,0.01,0.00173032069352569,3.58307,0.00173032,0.000226700173049929,0.469586,0.0002267,6.59783718727365e-06,0.0136674,6.59784e-06,2.9886619539655e-06,0.006191,2.98866e-06,2.36040154342297e-06,0.00488956,2.3604e-06,2.2609140530125e-06,0.00468347,2.26091e-06,2.25794595710986e-06,0.00467732,2.25795e-06,2.25715357062008e-06,0.00467568,2.25715e-06,2.25701231550286e-06,0.00467539,2.25701e-06,2.25700044852343e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2,2,0.293564,0.01,0.293564,0.01,20.9648,0.01,0.000975840111610357,2.05557,0.00097584,0.000163229790545525,0.344078,0.00016323,0.000142889789430321,0.301227,0.00014289,0.000140019983623503,0.295178,0.00014002,0.00013937997679882,0.293829,0.00013938,0.000139255927995022,0.293568,0.000139256,0.000139254197808107,0.293564,0.000139254,0.000139254,0.293564,0.000139254,0.000139254,0.293564,0.000139254,0.000139254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,1,3,5.5057e-05,0.01,5.5057e-05,0.01,2.83803,0.01,0.00131501529650546,0.373953,0.00131502,0.000308337398543067,0.0877075,0.000308337,7.57171361061291e-05,0.0215391,7.57171e-05,1.61394470569302e-05,0.0045912,1.61394e-05,3.80222968245043e-06,0.00108162,3.80223e-06,3.51924059354009e-07,0.000100112,3.51924e-07,2.00158897121812e-07,5.69395e-05,2.00159e-07,1.95135772880673e-07,5.55105e-05,1.95136e-07,1.93601353857032e-07,5.5074e-05,1.93601e-07,1.93553266012552e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2,3,3.05492e-05,0.01,3.05492e-05,0.01,2.28023,0.01,0.0019729638783605,0.452637,0.00197296,6.08321979647332e-06,0.00139693,6.08322e-06,5.74017109290477e-07,0.00013183,5.74017e-07,1.96592723114054e-07,4.51507e-05,1.96593e-07,1.43140299054758e-07,3.28746e-05,1.4314e-07,1.3528162892823e-07,3.10698e-05,1.35282e-07,1.3308834666544e-07,3.0566e-05,1.33088e-07,1.33021839368395e-07,3.05508e-05,1.33022e-07,1.33016124549559e-07,3.05494e-05,1.33016e-07,1.33015210384931e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,1,1,0.00430103,0.01,0.00430103,0.01,22.6106,0.01,0.000245930320322629,0.557184,0.00024593,2.20835739791983e-06,0.00500369,2.20836e-06,1.90005432062431e-06,0.00430517,1.90005e-06,1.89854447889942e-06,0.00430175,1.89854e-06,1.89825029422562e-06,0.00430108,1.89825e-06,1.89822804973878e-06,0.00430103,1.89823e-06,1.89823e-06,0.00430104,1.89823e-06,1.89822618835719e-06,0.00430103,1.89823e-06,1.89823e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,2,2,0.36879,0.01,0.36879,0.01,25.4305,0.01,0.000303779076307011,0.776397,0.000303779,0.0001749131825807,0.447128,0.000174913,0.000149205336175558,0.381423,0.000149205,0.000145473039196503,0.371883,0.000145473,0.000144329317068339,0.368959,0.000144329,0.000144279206106243,0.368831,0.000144279,0.000144263121712813,0.36879,0.000144263,0.000144263,0.368789,0.000144263,0.000144263306799311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,1,3,0.000157641,0.01,0.000157641,0.01,5.9843,0.01,0.00138928116154767,0.833095,0.00138928,0.000267745555005037,0.160579,0.000267746,1.71083345892759e-06,0.00102609,1.71083e-06,3.53118996542877e-07,0.000211787,3.53119e-07,2.77815024835038e-07,0.000166623,2.77815e-07,2.65896846456706e-07,0.000159475,2.65897e-07,2.63552472114679e-07,0.000158069,2.63552e-07,2.6291694231527e-07,0.000157687,2.62917e-07,2.62854511403163e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,2,3,8.55935e-05,0.01,8.55935e-05,0.01,4.86841,0.01,0.00215351074262084,1.05512,0.00215351,0.000485131620093876,0.237804,0.000485132,9.12858162880984e-05,0.0447513,9.12858e-05,2.09284016537886e-05,0.0102599,2.09284e-05,3.53346167194777e-06,0.00173223,3.53346e-06,2.34845029948197e-07,0.00011513,2.34845e-07,1.76374905030753e-07,8.64655e-05,1.76375e-07,1.74741103475958e-07,8.56646e-05,1.74741e-07,1.74611706155209e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,1,1,0.00764251,0.01,0.00764251,0.01,25.7135,0.01,0.000553694537708008,1.42622,0.000553695,0.000136303833193373,0.35112,0.000136304,2.33919159128853e-05,0.060259,2.33919e-05,5.38464170098999e-06,0.0138712,5.38464e-06,2.99051764048195e-06,0.00770378,2.99052e-06,2.97109536463221e-06,0.00765374,2.9711e-06,2.96751705415639e-06,0.00764453,2.96752e-06,2.96684537382993e-06,0.0076428,2.96685e-06,2.96673903499988e-06,0.00764252,2.96674e-06,2.96673707332476e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,2,0.878125,0.01,0.878125,0.01,33.8569,0.01,0.000980846229723674,3.33554,0.000980846,0.000288208208129678,0.980352,0.000288208,0.000263111835577724,0.89502,0.000263112,0.000258606145341596,0.879698,0.000258606,0.00025821091856272,0.878354,0.000258211,0.000258150093469086,0.878147,0.00025815,0.000258144235290568,0.878127,0.000258144,0.000258143505046759,0.878125,0.000258144,0.000258144,0.878126,0.000258144,0.000258143745206714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
