"year","seas","fleet","catch_target","F_target","catch_implemented","F_implemented","catch_achieved_1","F_achieved_1","F_update_1","catch_achieved_2","F_achieved_2","F_update_2","catch_achieved_3","F_achieved_3","F_update_3","catch_achieved_4","F_achieved_4","F_update_4","catch_achieved_5","F_achieved_5","F_update_5","catch_achieved_6","F_achieved_6","F_update_6","catch_achieved_7","F_achieved_7","F_update_7","catch_achieved_8","F_achieved_8","F_update_8","catch_achieved_9","F_achieved_9","F_update_9","catch_achieved_10","F_achieved_10","F_update_10","catch_achieved_11","F_achieved_11","F_update_11","catch_achieved_12","F_achieved_12","F_update_12","catch_achieved_13","F_achieved_13","F_update_13","catch_achieved_14","F_achieved_14","F_update_14","catch_achieved_15","F_achieved_15","F_update_15","catch_achieved_16","F_achieved_16","F_update_16","catch_achieved_17","F_achieved_17","F_update_17","catch_achieved_18","F_achieved_18","F_update_18","catch_achieved_19","F_achieved_19","F_update_19","catch_achieved_20","F_achieved_20","F_update_20"
2020,1,1,178.404368362479,0.275685601045294,178.404368362479,0.275685601045294,222.762,0.275686,0.234042661242407,189.957,0.234043,0.221905160599184,180.355,0.221905,0.219605797176426,178.532,0.219606,0.219485328289414,178.436,0.219485,0.219447631609306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,2,2,7410.59558389358,0.3,7410.59558389358,0.3,376.952,0.3,1.5,1542.28,1.5,1.5,1545.66,1.5,1.5,1546.3,1.5,1.5,1546.32,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,1,3,45.3799249192866,0.0894179512774833,45.3799249192866,0.0894179512774833,22.8064,0.089418,0.166574480097253,41.849,0.166574,0.178067320231212,44.6427,0.178067,0.180619187187332,45.261,0.180619,0.181085202546166,45.3736,0.181085,0.18110499452109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,2,3,0.745054659815842,0.01,0.745054659815842,0.01,1.85625,0.01,0.00529764268337835,0.916326,0.00529764,0.00451652746155656,0.777753,0.00451653,0.00434963229906083,0.748261,0.00434963,0.00433391828875092,0.745408,0.00433392,0.0043319529542116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,1,1,36.8389642057895,0.0453219218881551,36.8389642057895,0.0453219218881551,53.2725,0.0453219,0.0328263695351181,38.6142,0.0328264,0.0316358639401484,37.2132,0.0316359,0.0313559717424427,36.8838,0.031356,0.0313217682878906,36.8436,0.0313218,0.0313179291638451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2,2,4955.47145019138,0.3,4955.47145019138,0.3,464.07,0.3,1.5,1936.32,1.5,1.5,1936.32,1.5,1.5,1936.33,1.5,1.5,1936.33,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,1,3,79.6690481747352,0.3,79.6690481747352,0.3,54.5653,0.3,0.423172534696405,75.615,0.423173,0.442460675999965,78.8401,0.442461,0.446945757810629,79.5875,0.446946,0.447347033908716,79.6544,0.447347,0.447422277169479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2,3,1.20746028405564,0.0162063241513129,1.20746028405564,0.0162063241513129,2.17015,0.0162063,0.010723978119539,1.26879,0.010724,0.0102739756386757,1.20827,0.010274,0.0102685600173214,1.20593,0.0102686,0.0102806963292367,1.2072,0.0102807,0.0102827701831569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,1,1,211.190893017811,0.179561666050071,211.190893017811,0.179561666050071,255.301,0.179562,0.154433789288818,220.394,0.154434,0.148141587696388,211.611,0.148142,0.147868538731469,211.23,0.147869,0.147847747661213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,2,2,10301.7879799407,0.3,10301.7879799407,0.3,571.471,0.3,1.5,2353.93,1.5,1.5,2357.21,1.5,1.5,2357.36,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
