"Value.SSB","Value.Recr","Value.SPRratio","Value.F","Value.Bratio","Value.ForeCatch","Value.OFLCatch","Value.lnSPB","year","model_run","iteration","scenario"
223546,1637050,0.000547941,0.000784575,0.359698,NA,NA,12.3174,"1981","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
231410,5150910,0.00467177,0.00583417,0.372352,NA,NA,NA,"1982","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
228781,3017870,0.00418496,0.0047261,0.368122,NA,NA,NA,"1983","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
331527,2014370,0.0190773,0.0346689,0.533446,NA,NA,NA,"1984","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
384139,3021210,0.00954315,0.0156028,0.618102,NA,NA,NA,"1985","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
354107,3217700,0.016744,0.0226635,0.569779,NA,NA,NA,"1986","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
341969,3718520,0.0427388,0.0489136,0.550247,NA,NA,NA,"1987","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
331898,1687710,0.0344151,0.0393051,0.534043,NA,NA,NA,"1988","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
359043,1136710,0.0938572,0.120252,0.57772,NA,NA,NA,"1989","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
292829,4096970,0.165946,0.183072,0.471178,NA,NA,NA,"1990","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
209031,3448410,0.388807,0.401765,0.336342,NA,NA,NA,"1991","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
161478,10069800,0.67959,0.882395,0.259827,NA,NA,NA,"1992","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
198250,11846000,0.100007,0.172893,0.318996,NA,NA,NA,"1993","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
319421,5298470,0.211365,0.373287,0.513966,NA,NA,NA,"1994","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
463367,6660970,0.109878,0.169133,0.745585,NA,NA,NA,"1995","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
517815,13272100,0.111407,0.155826,0.833195,NA,NA,NA,"1996","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
542955,12854100,0.141777,0.188342,0.873646,NA,NA,NA,"1997","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
600462,3391270,0.238112,0.334248,0.966178,NA,NA,NA,"1998","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
692010,3369450,0.189356,0.269712,1.11348,NA,NA,NA,"1999","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
611218,7601030,0.233311,0.330109,0.983485,NA,NA,13.3232,"2000","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
482222,3043010,0.29546,0.42744,0.775924,NA,NA,NA,"2001","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
418764,34448600,0.339316,0.510327,0.673815,NA,NA,NA,"2002","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
413157,17568500,0.290674,0.500279,0.664793,NA,NA,NA,"2003","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
574889,24326100,0.326727,0.265563,0.925029,NA,NA,NA,"2004","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
785004,10371300,0.327997,0.235663,1.26312,NA,NA,NA,"2005","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
906115,6016130,0.224016,0.216576,1.45799,NA,NA,NA,"2006","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
813851,3838750,0.285705,0.332087,1.30953,NA,NA,NA,"2007","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
648021,6685700,0.290579,0.351354,1.0427,NA,NA,NA,"2008","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
479123,5504170,0.302797,0.403227,0.770937,NA,NA,NA,"2009","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
385986,450850,0.316858,0.506264,0.621073,NA,NA,NA,"2010","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
369201,110924,0.343771,0.610346,0.594066,NA,NA,NA,"2011","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
225618,156266,0.352504,1.05721,0.363033,NA,NA,NA,"2012","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
103135,303423,0.387924,1.24458,0.16595,NA,NA,NA,"2013","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
51298.6,667624,0.379794,0.845011,0.0825425,NA,NA,NA,"2014","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
39639.7,248384,0.01613,0.0186823,0.0637826,NA,NA,NA,"2015","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
52548.8,563432,0.246439,0.494648,0.0845541,NA,NA,NA,"2016","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
44734.6,367717,0.260783,0.47041,0.0719805,NA,NA,NA,"2017","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
37364.8,1539220,0.510467,0.817992,0.060122,NA,NA,NA,"2018","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
34048.3,2160720,0.454351,1.05209,0.0547857,NA,NA,NA,"2019","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
50707.3,1637360,0.250139,0.529824,0.081591,NA,NA,10.8338,"2020","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
86028,2443220,0.378611,0.302043,0.138424,10019.1,48792,NA,"2021","margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
223704,1634160,0.000547987,0.000747879,0.362424,NA,NA,12.3181,"1981","margCompsOMfixedSelexEM_EM_2021","7","margComps_SardineHCR"
231313,5159170,0.00466787,0.00556616,0.374752,NA,NA,NA,"1982","margCompsOMfixedSelexEM_EM_2021","7","margComps_SardineHCR"
228669,3014820,0.00418187,0.00451282,0.370468,NA,NA,NA,"1983","margCompsOMfixedSelexEM_EM_2021","7","margComps_SardineHCR"
331677,2020920,0.0191254,0.0331058,0.537352,NA,NA,NA,"1984","margCompsOMfixedSelexEM_EM_2021","7","margComps_SardineHCR"
384141,3022530,0.00954365,0.0149018,0.62235,NA,NA,NA,"1985","margCompsOMfixedSelexEM_EM_2021","7","margComps_SardineHCR"
