"Value.SSB","Value.Recr","Value.SPRratio","Value.F","Value.Bratio","Value.ForeCatch","Value.OFLCatch","Value.lnSPB","year","model_run","iteration","scenario"
214236,1577880,NA,NA,NA,NA,NA,12.2748,"1981","margComp_20210921_OM","7","margComps_highDatQual"
229801,5433840,NA,NA,NA,NA,NA,NA,"1982","margComp_20210921_OM","7","margComps_highDatQual"
226643,3052300,NA,NA,NA,NA,NA,NA,"1983","margComp_20210921_OM","7","margComps_highDatQual"
340828,2062240,NA,NA,NA,NA,NA,NA,"1984","margComp_20210921_OM","7","margComps_highDatQual"
387652,3184320,NA,NA,NA,NA,NA,NA,"1985","margComp_20210921_OM","7","margComps_highDatQual"
349592,3060610,NA,NA,NA,NA,NA,NA,"1986","margComp_20210921_OM","7","margComps_highDatQual"
357963,3956840,NA,NA,NA,NA,NA,NA,"1987","margComp_20210921_OM","7","margComps_highDatQual"
335695,1498050,NA,NA,NA,NA,NA,NA,"1988","margComp_20210921_OM","7","margComps_highDatQual"
374134,1450140,NA,NA,NA,NA,NA,NA,"1989","margComp_20210921_OM","7","margComps_highDatQual"
298285,4389130,NA,NA,NA,NA,NA,NA,"1990","margComp_20210921_OM","7","margComps_highDatQual"
215257,4409670,NA,NA,NA,NA,NA,NA,"1991","margComp_20210921_OM","7","margComps_highDatQual"
169917,10887300,NA,NA,NA,NA,NA,NA,"1992","margComp_20210921_OM","7","margComps_highDatQual"
208861,11353100,NA,NA,NA,NA,NA,NA,"1993","margComp_20210921_OM","7","margComps_highDatQual"
328474,4986540,NA,NA,NA,NA,NA,NA,"1994","margComp_20210921_OM","7","margComps_highDatQual"
473019,7622310,NA,NA,NA,NA,NA,NA,"1995","margComp_20210921_OM","7","margComps_highDatQual"
511116,12917100,NA,NA,NA,NA,NA,NA,"1996","margComp_20210921_OM","7","margComps_highDatQual"
522174,13642100,NA,NA,NA,NA,NA,NA,"1997","margComp_20210921_OM","7","margComps_highDatQual"
