"Value.SSB","Value.Recr","Value.SPRratio","Value.F","Value.Bratio","Value.ForeCatch","Value.OFLCatch","Value.lnSPB","year","model_run","iteration","scenario"
561.807,276411,0.252933,0.106266,0.00140726,NA,NA,6.33116,"1981","researchOM_constantgrowthEM_EM_2020","1","researchModel"
1627.14,708089,0.505827,0.276871,0.00407578,NA,NA,NA,"1982","researchOM_constantgrowthEM_EM_2020","1","researchModel"
5616.61,842178,0.160501,0.0607244,0.0140689,NA,NA,NA,"1983","researchOM_constantgrowthEM_EM_2020","1","researchModel"
16765.9,777771,0.393114,0.192828,0.0419965,NA,NA,NA,"1984","researchOM_constantgrowthEM_EM_2020","1","researchModel"
28256.3,3759620,0.127108,0.0582436,0.0707787,NA,NA,NA,"1985","researchOM_constantgrowthEM_EM_2020","1","researchModel"
41339.1,4755870,0.113701,0.0613103,0.103549,NA,NA,NA,"1986","researchOM_constantgrowthEM_EM_2020","1","researchModel"
88545.8,2472460,0.135413,0.0590216,0.221797,NA,NA,NA,"1987","researchOM_constantgrowthEM_EM_2020","1","researchModel"
162931,816608,0.0626508,0.0264092,0.408124,NA,NA,NA,"1988","researchOM_constantgrowthEM_EM_2020","1","researchModel"
195480,2277130,0.154128,0.0697529,0.489654,NA,NA,NA,"1989","researchOM_constantgrowthEM_EM_2020","1","researchModel"
169471,4216560,0.213664,0.10798,0.424505,NA,NA,NA,"1990","researchOM_constantgrowthEM_EM_2020","1","researchModel"
126394,3938990,0.291371,0.212471,0.316602,NA,NA,NA,"1991","researchOM_constantgrowthEM_EM_2020","1","researchModel"
122688,7615740,0.524252,0.415872,0.307319,NA,NA,NA,"1992","researchOM_constantgrowthEM_EM_2020","1","researchModel"
165692,20736300,0.106376,0.0677998,0.41504,NA,NA,NA,"1993","researchOM_constantgrowthEM_EM_2020","1","researchModel"
260478,11439400,0.234756,0.169095,0.652467,NA,NA,NA,"1994","researchOM_constantgrowthEM_EM_2020","1","researchModel"
516433,14100200,0.114855,0.0556586,1.2936,NA,NA,NA,"1995","researchOM_constantgrowthEM_EM_2020","1","researchModel"
717692,22677500,0.0805182,0.0395428,1.79773,NA,NA,NA,"1996","researchOM_constantgrowthEM_EM_2020","1","researchModel"
831144,20051800,0.0854293,0.0409186,2.08192,NA,NA,NA,"1997","researchOM_constantgrowthEM_EM_2020","1","researchModel"
1013550,4937130,0.148913,0.0725618,2.53882,NA,NA,NA,"1998","researchOM_constantgrowthEM_EM_2020","1","researchModel"
1153540,5349140,0.132136,0.0575476,2.88948,NA,NA,NA,"1999","researchOM_constantgrowthEM_EM_2020","1","researchModel"
1015290,5740430,0.173433,0.066721,2.54319,NA,NA,13.8307,"2000","researchOM_constantgrowthEM_EM_2020","1","researchModel"
774252,957940,0.286099,0.0871287,1.93941,NA,NA,NA,"2001","researchOM_constantgrowthEM_EM_2020","1","researchModel"
561887,26881000,0.41743,0.129372,1.40746,NA,NA,NA,"2002","researchOM_constantgrowthEM_EM_2020","1","researchModel"
376337,19279300,0.359239,0.157758,0.942679,NA,NA,NA,"2003","researchOM_constantgrowthEM_EM_2020","1","researchModel"
560158,19407800,0.283037,0.129097,1.40313,NA,NA,NA,"2004","researchOM_constantgrowthEM_EM_2020","1","researchModel"
839668,11063900,0.283324,0.100647,2.10327,NA,NA,NA,"2005","researchOM_constantgrowthEM_EM_2020","1","researchModel"
1020310,5877410,0.225279,0.0865993,2.55576,NA,NA,NA,"2006","researchOM_constantgrowthEM_EM_2020","1","researchModel"
