"Value.SSB","Value.Recr","Value.SPRratio","Value.F","Value.Bratio","Value.ForeCatch","Value.OFLCatch","Value.lnSPB","year","model_run","iteration","scenario"
958.886,354563,NA,NA,NA,NA,NA,6.86577,1981,"constGrowth_test2_OM",1,"constGrowth"
2206.04,635998,NA,NA,NA,NA,NA,NA,1982,"constGrowth_test2_OM",1,"constGrowth"
7233.05,781453,NA,NA,NA,NA,NA,NA,1983,"constGrowth_test2_OM",1,"constGrowth"
18123.6,844301,NA,NA,NA,NA,NA,NA,1984,"constGrowth_test2_OM",1,"constGrowth"
28289.4,2102080,NA,NA,NA,NA,NA,NA,1985,"constGrowth_test2_OM",1,"constGrowth"
40948.3,1586280,NA,NA,NA,NA,NA,NA,1986,"constGrowth_test2_OM",1,"constGrowth"
65551.6,3366990,NA,NA,NA,NA,NA,NA,1987,"constGrowth_test2_OM",1,"constGrowth"
88395.3,1291460,NA,NA,NA,NA,NA,NA,1988,"constGrowth_test2_OM",1,"constGrowth"
120912,2850160,NA,NA,NA,NA,NA,NA,1989,"constGrowth_test2_OM",1,"constGrowth"
129807,4188030,NA,NA,NA,NA,NA,NA,1990,"constGrowth_test2_OM",1,"constGrowth"
117820,3629960,NA,NA,NA,NA,NA,NA,1991,"constGrowth_test2_OM",1,"constGrowth"
128041,7929070,NA,NA,NA,NA,NA,NA,1992,"constGrowth_test2_OM",1,"constGrowth"
168304,21805200,NA,NA,NA,NA,NA,NA,1993,"constGrowth_test2_OM",1,"constGrowth"
266790,11526700,NA,NA,NA,NA,NA,NA,1994,"constGrowth_test2_OM",1,"constGrowth"
549110,12193000,NA,NA,NA,NA,NA,NA,1995,"constGrowth_test2_OM",1,"constGrowth"
763343,21880500,NA,NA,NA,NA,NA,NA,1996,"constGrowth_test2_OM",1,"constGrowth"
844540,22086000,NA,NA,NA,NA,NA,NA,1997,"constGrowth_test2_OM",1,"constGrowth"
1002940,4998110,NA,NA,NA,NA,NA,NA,1998,"constGrowth_test2_OM",1,"constGrowth"
1175100,4277360,NA,NA,NA,NA,NA,NA,1999,"constGrowth_test2_OM",1,"constGrowth"
1051460,7589530,NA,NA,NA,NA,NA,NA,2000,"constGrowth_test2_OM",1,"constGrowth"
786732,527913,NA,NA,NA,NA,NA,13.5756,2001,"constGrowth_test2_OM",1,"constGrowth"
584795,28153000,NA,NA,NA,NA,NA,NA,2002,"constGrowth_test2_OM",1,"constGrowth"
398038,17863400,NA,NA,NA,NA,NA,NA,2003,"constGrowth_test2_OM",1,"constGrowth"
600956,19932300,NA,NA,NA,NA,NA,NA,2004,"constGrowth_test2_OM",1,"constGrowth"
877044,6566940,NA,NA,NA,NA,NA,NA,2005,"constGrowth_test2_OM",1,"constGrowth"
