ParName   Value   Gradient
MGparm[2]      9.87887 1.68778e-005
MGparm[3]      23.0684 4.16902e-005
MGparm[4]     0.684701 8.38539e-006
MGparm[5]      0.23942 2.04038e-006
MGparm[6]    0.0397261 5.60568e-007
SR_parm[1]       15.017  0.000265459
SR_parm[6]      1.21907 6.04493e-006
recdev_early(1994)   -0.0642367 1.20837e-006
recdev_early(1995)     0.365912  9.6788e-007
recdev_early(1996)     0.720051  1.6503e-006
recdev_early(1997)      1.42067 -3.34781e-006
recdev_early(1998)      1.58747 7.81587e-006
recdev_early(1999)     0.343816 -1.94413e-006
recdev1(2000)    -0.186409 3.75094e-006
recdev1(2001)   -0.0394631 7.49239e-006
recdev1(2002)      2.60099 9.33512e-006
recdev1(2003)      1.93342 2.71607e-006
recdev1(2004)      1.95842 2.38113e-006
recdev1(2005)     0.719483 -2.4302e-006
recdev1(2006)     0.477454 2.95811e-006
recdev1(2007)     -0.10019 1.58212e-006
recdev1(2008)     0.365641  9.1917e-006
recdev1(2009)     0.993856 3.41014e-005
recdev1(2010)     -1.44369 2.60144e-006
recdev1(2011)     -3.26176 -1.11717e-006
recdev1(2012)     -2.22579 4.40366e-007
recdev1(2013)     -1.17458  5.2649e-006
recdev1(2014)   -0.0121228 6.02939e-006
recdev1(2015)    -0.427826 2.29814e-006
recdev1(2016)        0.174 -7.2368e-006
recdev1(2017)    -0.831861 -8.52473e-006
recdev1(2018)     0.480414 -7.72626e-006
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
init_F[1]  8.0401e-007 -1.88849e-007
F_rate[1]      1.58185 7.41992e-007
F_rate[2]      1.13712 1.85975e-006
F_rate[3]      1.55148 -1.15009e-006
F_rate[4]     0.747113 -3.17776e-006
F_rate[5]     0.464951 -3.39681e-006
F_rate[6]      0.32969 5.49228e-006
F_rate[7]     0.558899 -4.31565e-006
F_rate[8]      1.85711 2.05165e-006
F_rate[9]       2.2471 -1.16307e-006
F_rate[10]      1.55799 3.22926e-007
F_rate[11]      1.42975 1.61643e-006
F_rate[12]      2.69094 3.34883e-007
F_rate[13]     0.327948 3.07894e-006
F_rate[14]     0.799753 -1.95277e-006
F_rate[15]            4 -2.38784e-007
F_rate[16]    0.0117496 2.07998e-005
F_rate[17]     0.366593 3.64512e-006
F_rate[18]     0.269898 1.55977e-006
F_rate[19]    0.0464717 -5.87432e-006
F_rate[20]     0.235168 -1.30079e-006
F_rate[21]      0.41797 -5.58333e-006
F_rate[22]     0.583245 -9.53401e-007
F_rate[23]     0.373359 2.76156e-006
F_rate[24]     0.220351 2.70377e-006
F_rate[25]    0.0572692 3.25564e-006
F_rate[26]    0.0973429 8.65609e-006
F_rate[27]     0.124901 3.09489e-006
F_rate[28]     0.316159 -8.0123e-006
F_rate[29]     0.451162 -2.44652e-006
F_rate[30]     0.589741 -1.98475e-006
F_rate[31]       0.4088 -2.52368e-006
F_rate[32]     0.271175 3.01117e-006
F_rate[33]     0.728412  2.2427e-006
F_rate[34]      1.33829 1.28263e-006
F_rate[35]     0.258986 -1.59635e-006
F_rate[36]    0.0351885 -3.84649e-006
F_rate[37]      1.19459 9.37833e-007
F_rate[38]      1.43444 -1.71639e-007
F_rate[39]      2.03524 -8.52909e-008
F_rate[40]            4 -2.09566e-007
F_rate[41]     0.156124 5.46788e-006
F_rate[42]    0.0307157 -4.7164e-008
F_rate[43]     0.200444 -3.1123e-006
F_rate[44]    0.0375695 6.99689e-006
F_rate[45]     0.374087 1.04062e-006
F_rate[46]   0.00883594 -2.82432e-006
