"SpawnBio","Recruit_0","retainB_1","retainN_1","retainB_2","retainN_2","retainB_3","retainN_3","deadB_1","deadN_1","deadB_2","deadN_2","deadB_3","deadN_3","F_1","F_2","F_3","SPRratio","rec_dev","raw_rec_dev","year","model_run","iteration","scenario"
NA,0,5.77992,47.9332,0,0,0,0,5.77992,47.9332,0,0,0,0,0.507303,0,0,0,0.552018,0.552018,1981,"0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
1899.48,0,0,0,57.1498,504.057,0,0,0,0,57.1498,504.057,0,0,0,0.218941,0,0,0.552018,0.552018,1981,"0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
NA,102124,73.9399,544.133,0,0,0,0,73.9399,544.133,0,0,0,0,1.33158,0,0,0,1.02207,1.02207,1982,"0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
4384.71,0,0,0,412.76,3354.96,0,0,0,0,412.76,3354.96,0,0,0,0.602215,0,0,1.02207,1.02207,1982,"0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
NA,353580,213.19,2337.41,0,0,0,0,213.19,2337.41,0,0,0,0,0.0910964,0,0,0,0.776796,0.776796,1983,"0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
6692.89,0,0,0,159.121,1183.72,0,0,0,0,159.121,1183.72,0,0,0,0.120524,0,0,0.776796,0.776796,1983,"0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
NA,396085,75.3901,888.594,0,0,0,0,75.3901,888.594,0,0,0,0,0.0152503,0,0,0,-0.253074,-0.253074,1984,"0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
17454.2,0,0,0,3495.8,26033.9,0,0,0,0,3495.8,26033.9,0,0,0,1.81814,0,0,-0.253074,-0.253074,1984,"0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
NA,338177,819.428,7096.55,0,0,0,0,819.428,7096.55,0,0,0,0,0.108219,0,0,0,0.352465,0.352465,1985,"0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
27143,0,0,0,1019,6864.19,0,0,0,0,1019,6864.19,0,0,0,0.256208,0,0,0.352465,0.352465,1985,"0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
NA,928666,387.71,3124.87,0,0,0,0,387.71,3124.87,0,0,0,0,0.0450696,0,0,0,0.83655,0.83655,1986,"0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
30492.5,0,0,0,2278.89,14260.8,0,0,0,0,2278.89,14260.8,0,0,0,0.347942,0,0,0.83655,0.83655,1986,"0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
NA,1678380,2247.31,21032.5,0,0,0,0,2247.31,21032.5,0,0,0,0,0.359348,0,0,0,0.527856,0.527856,1987,"0_estimate_cohort_growh_OM","1","cohortGrowthself_compNsamp"
