"Value.SSB","Value.Recr","Value.SPRratio","Value.F","Value.Bratio","Value.ForeCatch","Value.OFLCatch","Value.lnSPB","year","model_run","iteration","scenario"
1899.48,102124,NA,NA,NA,NA,NA,7.54933,1981,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
4384.71,353580,NA,NA,NA,NA,NA,NA,1982,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
6692.89,396085,NA,NA,NA,NA,NA,NA,1983,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
17454.2,338177,NA,NA,NA,NA,NA,NA,1984,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
27143,928666,NA,NA,NA,NA,NA,NA,1985,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
30492.5,1678380,NA,NA,NA,NA,NA,NA,1986,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
53582.7,2045130,NA,NA,NA,NA,NA,NA,1987,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
78637.5,1315370,NA,NA,NA,NA,NA,NA,1988,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
134307,1986460,NA,NA,NA,NA,NA,NA,1989,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
121311,5826840,NA,NA,NA,NA,NA,NA,1990,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
99619,3877360,NA,NA,NA,NA,NA,NA,1991,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
102996,9838120,NA,NA,NA,NA,NA,NA,1992,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
167357,22618500,NA,NA,NA,NA,NA,NA,1993,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
266872,12136900,NA,NA,NA,NA,NA,NA,1994,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
553976,12275300,NA,NA,NA,NA,NA,NA,1995,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
799956,20741900,NA,NA,NA,NA,NA,NA,1996,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
864301,21150200,NA,NA,NA,NA,NA,NA,1997,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
898362,4560870,NA,NA,NA,NA,NA,NA,1998,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
1043900,4015480,NA,NA,NA,NA,NA,NA,1999,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
1004250,6924520,NA,NA,NA,NA,NA,NA,2000,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
770852,1615030,NA,NA,NA,NA,NA,NA,2001,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
592378,36835300,NA,NA,NA,NA,NA,NA,2002,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
419139,23972200,NA,NA,NA,NA,NA,12.946,2003,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
504355,22870700,NA,NA,NA,NA,NA,NA,2004,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
750567,8453820,NA,NA,NA,NA,NA,NA,2005,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
881944,7412550,NA,NA,NA,NA,NA,NA,2006,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
835062,3350830,NA,NA,NA,NA,NA,NA,2007,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
677818,5540830,NA,NA,NA,NA,NA,NA,2008,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
477283,6134450,NA,NA,NA,NA,NA,NA,2009,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
345603,506318,NA,NA,NA,NA,NA,NA,2010,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
346689,108109,NA,NA,NA,NA,NA,NA,2011,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
217744,180219,NA,NA,NA,NA,NA,NA,2012,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
95964.5,546857,NA,NA,NA,NA,NA,NA,2013,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
45110.8,712778,NA,NA,NA,NA,NA,NA,2014,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
40038.1,326635,NA,NA,NA,NA,NA,NA,2015,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
60118.2,648044,NA,NA,NA,NA,NA,NA,2016,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
56373.6,412264,NA,NA,NA,NA,NA,NA,2017,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
46199,1733540,NA,NA,NA,NA,NA,NA,2018,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
43144.5,1591590,NA,NA,NA,NA,NA,NA,2019,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
61057.7,352227,NA,NA,NA,NA,NA,NA,2020,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
93895.4,2187060,NA,NA,NA,NA,NA,NA,2021,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
84695.9,4479190,NA,NA,NA,NA,NA,NA,2022,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
108741,182385,NA,NA,NA,NA,NA,NA,2023,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
191087,4260770,NA,NA,NA,NA,NA,NA,2024,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
176258,4358620,0.782545,0.079581,0.163107,NA,NA,12.0797,2025,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
208872,5461320,NA,NA,NA,111253,185618,NA,2026,"0_estimate_cohort_growh_OM",1,"cohortGrowth_compNsamp"
2441710,11338900,0.0573161,0.0357549,10.3781,NA,NA,14.7082,2000,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
2188100,72411700,0.0507655,0.0258528,9.30019,NA,NA,NA,2001,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
1633840,182152000,0.24632,0.0825634,6.9444,NA,NA,NA,2002,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
1438700,36795200,0.0584448,0.0339586,6.11497,NA,NA,NA,2003,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
2243150,33017600,0.0528269,0.0363477,9.53417,NA,NA,NA,2004,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
3002440,1465600,0.0504925,0.0294629,12.7614,NA,NA,NA,2005,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
2818760,1408060,0.058547,0.066323,11.9807,NA,NA,NA,2006,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
2180180,292777,0.133204,0.1141,9.26653,NA,NA,NA,2007,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
1474840,1479120,0.160361,0.129463,6.2686,NA,NA,NA,2008,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
961756,833677,0.505762,0.104679,4.08781,NA,NA,NA,2009,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
567037,145586,0.745988,0.142743,2.41011,NA,NA,13.2482,2010,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
321438,141675,0.786249,0.405128,1.36622,NA,NA,NA,2011,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
119477,303210,0.498933,0.977238,0.507818,NA,NA,NA,2012,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
31665.9,346143,0.575938,1.33746,0.134591,NA,NA,NA,2013,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
7993.31,1169050,0.76421,1.64158,0.0339744,NA,NA,NA,2014,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
6612.76,714529,0.0470811,0.0655246,0.0281066,NA,NA,NA,2015,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
11822,1702450,0.556184,1.32786,0.0502475,NA,NA,NA,2016,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
15298.3,377435,0.508455,1.11632,0.0650233,NA,NA,NA,2017,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
20008.6,2434770,0.521943,1.20985,0.0850436,NA,NA,NA,2018,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
20717.9,1717000,0.545458,1.25248,0.0880586,NA,NA,NA,2019,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
23520.3,1762620,0.00926777,0.0132274,0.0999698,NA,NA,10.0656,2020,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
39652.5,2565570,0.364227,0.522339,0.168537,13424.6,28420.9,NA,2021,"cohortGrowthOMfixedParamsEM_EM_2020",1,"cohortGrowth_compNsamp"
699130,6958890,0.300234,0.290423,2.49309,NA,NA,13.4576,2000,"cohortGrowthOMfixedParamsEM_EM_2021",1,"cohortGrowth_compNsamp"
519248,1073130,0.35067,0.38355,1.85163,NA,NA,NA,2001,"cohortGrowthOMfixedParamsEM_EM_2021",1,"cohortGrowth_compNsamp"
406397,16331000,0.373985,0.529707,1.44921,NA,NA,NA,2002,"cohortGrowthOMfixedParamsEM_EM_2021",1,"cohortGrowth_compNsamp"
286343,12055400,0.360741,0.595529,1.0211,NA,NA,NA,2003,"cohortGrowthOMfixedParamsEM_EM_2021",1,"cohortGrowth_compNsamp"
404731,18670900,0.338312,0.557864,1.44327,NA,NA,NA,2004,"cohortGrowthOMfixedParamsEM_EM_2021",1,"cohortGrowth_compNsamp"
