"Value.SSB","Value.Recr","Value.SPRratio","Value.F","Value.Bratio","Value.ForeCatch","Value.OFLCatch","Value.lnSPB","year","model_run","iteration","scenario"
958.886,354563,NA,NA,NA,NA,NA,6.86577,"1981","constGrowth_test2_OM","1","constGrowth_compNsamp"
2206.04,635998,NA,NA,NA,NA,NA,NA,"1982","constGrowth_test2_OM","1","constGrowth_compNsamp"
7233.05,781453,NA,NA,NA,NA,NA,NA,"1983","constGrowth_test2_OM","1","constGrowth_compNsamp"
18123.6,844301,NA,NA,NA,NA,NA,NA,"1984","constGrowth_test2_OM","1","constGrowth_compNsamp"
28289.4,2102080,NA,NA,NA,NA,NA,NA,"1985","constGrowth_test2_OM","1","constGrowth_compNsamp"
40948.3,1586280,NA,NA,NA,NA,NA,NA,"1986","constGrowth_test2_OM","1","constGrowth_compNsamp"
65551.6,3366990,NA,NA,NA,NA,NA,NA,"1987","constGrowth_test2_OM","1","constGrowth_compNsamp"
88395.3,1291460,NA,NA,NA,NA,NA,NA,"1988","constGrowth_test2_OM","1","constGrowth_compNsamp"
120912,2850160,NA,NA,NA,NA,NA,NA,"1989","constGrowth_test2_OM","1","constGrowth_compNsamp"
129807,4188030,NA,NA,NA,NA,NA,NA,"1990","constGrowth_test2_OM","1","constGrowth_compNsamp"
117820,3629960,NA,NA,NA,NA,NA,NA,"1991","constGrowth_test2_OM","1","constGrowth_compNsamp"
128041,7929070,NA,NA,NA,NA,NA,NA,"1992","constGrowth_test2_OM","1","constGrowth_compNsamp"
168304,21805200,NA,NA,NA,NA,NA,NA,"1993","constGrowth_test2_OM","1","constGrowth_compNsamp"
266790,11526700,NA,NA,NA,NA,NA,NA,"1994","constGrowth_test2_OM","1","constGrowth_compNsamp"
549110,12193000,NA,NA,NA,NA,NA,NA,"1995","constGrowth_test2_OM","1","constGrowth_compNsamp"
763343,21880500,NA,NA,NA,NA,NA,NA,"1996","constGrowth_test2_OM","1","constGrowth_compNsamp"
844540,22086000,NA,NA,NA,NA,NA,NA,"1997","constGrowth_test2_OM","1","constGrowth_compNsamp"
1002940,4998110,NA,NA,NA,NA,NA,NA,"1998","constGrowth_test2_OM","1","constGrowth_compNsamp"
1175100,4277360,NA,NA,NA,NA,NA,NA,"1999","constGrowth_test2_OM","1","constGrowth_compNsamp"
1051460,7589530,NA,NA,NA,NA,NA,NA,"2000","constGrowth_test2_OM","1","constGrowth_compNsamp"
786732,527913,NA,NA,NA,NA,NA,NA,"2001","constGrowth_test2_OM","1","constGrowth_compNsamp"
584795,28153000,NA,NA,NA,NA,NA,NA,"2002","constGrowth_test2_OM","1","constGrowth_compNsamp"
398038,17863400,NA,NA,NA,NA,NA,12.8943,"2003","constGrowth_test2_OM","1","constGrowth_compNsamp"
600956,19932300,NA,NA,NA,NA,NA,NA,"2004","constGrowth_test2_OM","1","constGrowth_compNsamp"
877044,6566940,NA,NA,NA,NA,NA,NA,"2005","constGrowth_test2_OM","1","constGrowth_compNsamp"
1050490,7785500,NA,NA,NA,NA,NA,NA,"2006","constGrowth_test2_OM","1","constGrowth_compNsamp"
936666,3353540,NA,NA,NA,NA,NA,NA,"2007","constGrowth_test2_OM","1","constGrowth_compNsamp"
739976,6635550,NA,NA,NA,NA,NA,NA,"2008","constGrowth_test2_OM","1","constGrowth_compNsamp"
531477,6274340,NA,NA,NA,NA,NA,NA,"2009","constGrowth_test2_OM","1","constGrowth_compNsamp"
399426,330553,NA,NA,NA,NA,NA,NA,"2010","constGrowth_test2_OM","1","constGrowth_compNsamp"
338590,148125,NA,NA,NA,NA,NA,NA,"2011","constGrowth_test2_OM","1","constGrowth_compNsamp"
197285,241572,NA,NA,NA,NA,NA,NA,"2012","constGrowth_test2_OM","1","constGrowth_compNsamp"
84040.8,672769,NA,NA,NA,NA,NA,NA,"2013","constGrowth_test2_OM","1","constGrowth_compNsamp"
39881.5,998840,NA,NA,NA,NA,NA,NA,"2014","constGrowth_test2_OM","1","constGrowth_compNsamp"
35201.2,702711,NA,NA,NA,NA,NA,NA,"2015","constGrowth_test2_OM","1","constGrowth_compNsamp"
43924.2,937833,NA,NA,NA,NA,NA,NA,"2016","constGrowth_test2_OM","1","constGrowth_compNsamp"
46469.2,408054,NA,NA,NA,NA,NA,NA,"2017","constGrowth_test2_OM","1","constGrowth_compNsamp"
49740.9,4276580,NA,NA,NA,NA,NA,NA,"2018","constGrowth_test2_OM","1","constGrowth_compNsamp"
44370.9,4785510,NA,NA,NA,NA,NA,NA,"2019","constGrowth_test2_OM","1","constGrowth_compNsamp"
90001.1,567614,NA,NA,NA,NA,NA,NA,"2020","constGrowth_test2_OM","1","constGrowth_compNsamp"
176070,2934770,NA,NA,NA,NA,NA,NA,"2021","constGrowth_test2_OM","1","constGrowth_compNsamp"
191510,7169100,NA,NA,NA,NA,NA,NA,"2022","constGrowth_test2_OM","1","constGrowth_compNsamp"
182299,160979,NA,NA,NA,NA,NA,NA,"2023","constGrowth_test2_OM","1","constGrowth_compNsamp"
253341,3471260,NA,NA,NA,NA,NA,NA,"2024","constGrowth_test2_OM","1","constGrowth_compNsamp"
256804,3779760,0.999999,3.55664e-07,0.681161,NA,NA,12.4561,"2025","constGrowth_test2_OM","1","constGrowth_compNsamp"
227805,4785510,NA,NA,NA,133206,199427,NA,"2026","constGrowth_test2_OM","1","constGrowth_compNsamp"
637184,9045010,0.29638,0.306606,2.13824,NA,NA,13.3648,"2000","constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
492760,1428500,0.33282,0.390272,1.65359,NA,NA,NA,"2001","constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
