"year","seas","fleet","catch_target","F_target","catch_implemented","F_implemented","catch_achieved_1","F_achieved_1","F_update_1","catch_achieved_2","F_achieved_2","F_update_2","catch_achieved_3","F_achieved_3","F_update_3","catch_achieved_4","F_achieved_4","F_update_4","catch_achieved_5","F_achieved_5","F_update_5","catch_achieved_6","F_achieved_6","F_update_6","catch_achieved_7","F_achieved_7","F_update_7","catch_achieved_8","F_achieved_8","F_update_8","catch_achieved_9","F_achieved_9","F_update_9","catch_achieved_10","F_achieved_10","F_update_10","catch_achieved_11","F_achieved_11","F_update_11","catch_achieved_12","F_achieved_12","F_update_12","catch_achieved_13","F_achieved_13","F_update_13","catch_achieved_14","F_achieved_14","F_update_14","catch_achieved_15","F_achieved_15","F_update_15","catch_achieved_16","F_achieved_16","F_update_16","catch_achieved_17","F_achieved_17","F_update_17","catch_achieved_18","F_achieved_18","F_update_18","catch_achieved_19","F_achieved_19","F_update_19","catch_achieved_20","F_achieved_20","F_update_20"
2020,1,1,0.000789071,0.01,0.000789071,0.01,8.35021,0.01,0.000742514041645846,0.62076,0.000742514,9.93285418706142e-05,0.0830483,9.93285e-05,2.46954220316653e-05,0.020648,2.46954e-05,4.44125086491162e-06,0.00371336,4.44125e-06,1.09065778263138e-06,0.000911908,1.09066e-06,9.77735920867993e-07,0.000817493,9.77736e-07,9.4508830291408e-07,0.000790196,9.45088e-07,9.44015286798803e-07,0.000789299,9.44015e-07,9.43765981921607e-07,0.00078909,9.43766e-07,9.43745689994493e-07,0.000789074,9.43746e-07,9.43743169462339e-07,0.000789071,9.43743e-07,9.43743e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,2,2,0.0783792,0.01,0.0783792,0.01,14.0036,0.01,0.000320340219542835,0.450329,0.00032034,0.000105879465998698,0.148872,0.000105879,6.70149793541669e-05,0.0942292,6.7015e-05,5.67386042884044e-05,0.0797802,5.67386e-05,5.5773712652047e-05,0.0784235,5.57737e-05,5.57456135933378e-05,0.078384,5.57456e-05,5.5742252499533e-05,0.0783793,5.57423e-05,5.57422428890089e-05,0.0783793,5.57422e-05,5.57421346937129e-05,0.0783791,5.57421e-05,5.57421614458095e-05,0.0783791,5.57422e-05,5.57422618319475e-05,0.0783793,5.57423e-05,5.57422428229621e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,1,3,1.09171e-05,0.01,1.09171e-05,0.01,2.60982,0.01,0.00114783905981871,0.300191,0.00114784,0.000238266506405625,0.0623261,0.000238267,3.05879779941527e-05,0.00800161,3.0588e-05,5.60796536865774e-06,0.00146701,5.60797e-06,7.76923472827007e-07,0.000203239,7.76923e-07,5.47152287583217e-08,1.43132e-05,5.47152e-08,4.44319948439967e-08,1.16232e-05,4.4432e-08,4.22020295063534e-08,1.10398e-05,4.2202e-08,4.18137265124296e-08,1.09383e-05,4.18137e-08,4.17413772001054e-08,1.09193e-05,4.17414e-08,4.17342504962726e-08,1.09175e-05,4.17343e-08,4.17328259449278e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,2,3,5.42341e-06,0.01,5.42341e-06,0.01,1.96962,0.01,0.00240500182057106,0.476698,0.002405,0.000280652844330312,0.0556777,0.000280653,6.0213678700004e-05,0.0119473,6.02137e-05,1.27354607940571e-05,0.00252696,1.27355e-05,1.56572694083225e-06,0.000310671,1.56573e-06,2.68899885357659e-07,5.33551e-05,2.689e-07,3.76018264938343e-08,7.46095e-06,3.76018e-08,2.96819211668233e-08,5.88949e-06,2.96819e-08,2.77323195110829e-08,5.50265e-06,2.77323e-08,2.74277612620877e-08,5.44222e-06,2.74278e-08,2.73454996488316e-08,5.42589e-06,2.73455e-08,2.73356245744017e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,1,1,0.0140554,0.01,0.0140554,0.01,20.885,0.01,0.00102516687440261,2.14506,0.00102517,2.48549150504246e-05,0.0520174,2.48549e-05,7.59734884641575e-06,0.0159001,7.59735e-06,6.89794949836267e-06,0.0144364,6.89795e-06,6.7504990256127e-06,0.0141278,6.7505e-06,6.72092423956393e-06,0.0140659,6.72092e-06,6.71600300123986e-06,0.0140556,6.716e-06,6.71591565007299e-06,0.0140554,6.71592e-06,6.71592e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2,2,0.584879,0.01,0.584879,0.01,24.4619,0.01,0.00215431270836927,5.29192,0.00215431,0.000489339762100256,1.20275,0.00048934,0.000240542805937962,0.591261,0.000240543,0.000238480398511991,0.586192,0.00023848,0.000238030009743497,0.585085,0.00023803,0.000237965498886953,0.584926,0.000237965,0.000237950156343103,0.584888,0.00023795,0.000237947110666435,0.584881,0.000237947,0.000237946359179182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,1,3,0.000144228,0.01,0.000144228,0.01,2.83831,0.01,0.00124341859845489,0.353657,0.00124342,0.000106092057895568,0.0301827,0.000106092,5.90655140368808e-06,0.00168041,5.90655e-06,1.77180081158661e-06,0.000504077,1.7718e-06,5.69124636447138e-07,0.000161916,5.69125e-07,5.11316382018175e-07,0.000145469,5.11316e-07,5.07586325265804e-07,0.000144408,5.07586e-07,5.06984421924396e-07,0.000144237,5.06984e-07,5.06959001363705e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2,3,7.86701e-05,0.01,7.86701e-05,0.01,2.29266,0.01,0.00071723180685571,0.165476,0.000717232,4.77007011530253e-05,0.0110138,4.77007e-05,1.179327657e-06,0.000272316,1.17933e-06,4.60419983795828e-07,0.000106315,4.6042e-07,3.43600805276269e-07,7.93402e-05,3.43601e-07,3.40758795858347e-07,7.8684e-05,3.40759e-07,3.4070848230605e-07,7.86724e-05,3.40708e-07,3.40699486616071e-07,7.86703e-05,3.40699e-07,3.40698298611068e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,1,1,0.0136728,0.01,0.0136728,0.01,30.4828,0.01,0.00159778443057726,4.87804,0.00159778,3.23271522180186e-05,0.0987218,3.23272e-05,6.24900590307275e-06,0.0190836,6.24901e-06,4.75787035488874e-06,0.0145299,4.75787e-06,4.47901852889803e-06,0.0136783,4.47902e-06,4.47729441241229e-06,0.0136731,4.47729e-06,4.4772086657398e-06,0.0136728,4.47721e-06,4.47721e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,2,2,0.75932,0.01,0.75932,0.01,44.0681,0.01,0.00150607715787376,6.66134,0.00150608,0.00023954783389934,1.06016,0.000239548,0.000186062906641925,0.823473,0.000186063,0.000173186300612117,0.766486,0.000173186,0.000171872470152941,0.760672,0.000171872,0.000171589327725414,0.759419,0.000171589,0.000171567855221993,0.759324,0.000171568,0.000171567281432107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
