"year","seas","fleet","catch_target","F_target","catch_implemented","F_implemented","catch_achieved_1","F_achieved_1","F_update_1","catch_achieved_2","F_achieved_2","F_update_2","catch_achieved_3","F_achieved_3","F_update_3","catch_achieved_4","F_achieved_4","F_update_4","catch_achieved_5","F_achieved_5","F_update_5","catch_achieved_6","F_achieved_6","F_update_6","catch_achieved_7","F_achieved_7","F_update_7","catch_achieved_8","F_achieved_8","F_update_8","catch_achieved_9","F_achieved_9","F_update_9","catch_achieved_10","F_achieved_10","F_update_10","catch_achieved_11","F_achieved_11","F_update_11","catch_achieved_12","F_achieved_12","F_update_12","catch_achieved_13","F_achieved_13","F_update_13","catch_achieved_14","F_achieved_14","F_update_14","catch_achieved_15","F_achieved_15","F_update_15","catch_achieved_16","F_achieved_16","F_update_16","catch_achieved_17","F_achieved_17","F_update_17","catch_achieved_18","F_achieved_18","F_update_18","catch_achieved_19","F_achieved_19","F_update_19","catch_achieved_20","F_achieved_20","F_update_20"
2020,1,1,0.000802977,0.01,0.000802977,0.01,8.35021,0.01,0.00178063632628572,1.48846,0.00178064,0.000238308376742427,0.199245,0.000238308,4.440509947289e-05,0.0371273,4.44051e-05,1.82188428499409e-06,0.00152329,1.82188e-06,9.8443968493655e-07,0.000823098,9.8444e-07,9.61848142226222e-07,0.000804209,9.61848e-07,9.60666501792075e-07,0.000803221,9.60667e-07,9.60386223339507e-07,0.000802987,9.60386e-07,9.603762729871e-07,0.000802978,9.60376e-07,9.60375099800815e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,2,2,0.0820939,0.01,0.0820939,0.01,14.0036,0.01,0.000319852941461256,0.449548,0.000319853,0.000109921461027153,0.154551,0.000109921,6.63657696709252e-05,0.093316,6.63658e-05,5.89330940086845e-05,0.0828659,5.89331e-05,5.84544749167442e-05,0.0821929,5.84545e-05,5.83972947217805e-05,0.0821125,5.83973e-05,5.83867698370989e-05,0.0820977,5.83868e-05,5.83843351018865e-05,0.0820943,5.83843e-05,5.838402019037e-05,0.0820938,5.8384e-05,5.83840675384963e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,1,3,1.12412e-05,0.01,1.12412e-05,0.01,2.60982,0.01,0.00220761604758178,0.577208,0.00220762,0.000200026658472442,0.0523235,0.000200027,2.05052715638617e-05,0.00536405,2.05053e-05,2.99691674474744e-07,7.83979e-05,2.99692e-07,5.13720877682442e-08,1.34387e-05,5.13721e-08,4.3871912548978e-08,1.14767e-05,4.38719e-08,4.30543327750296e-08,1.12628e-05,4.30543e-08,4.29877827216975e-08,1.12454e-05,4.29878e-08,4.29734132284739e-08,1.12416e-05,4.29734e-08,4.29719017731167e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,2,3,5.50965e-06,0.01,5.50965e-06,0.01,1.96962,0.01,0.000670371230816252,0.132854,0.000670371,7.33379877641518e-06,0.00145502,7.3338e-06,1.79648614234894e-06,0.000356454,1.79649e-06,2.36171384405023e-07,4.68611e-05,2.36171e-07,4.78851813284725e-08,9.50137e-06,4.78852e-08,2.95352156219956e-08,5.86038e-06,2.95352e-08,2.81605250019175e-08,5.58761e-06,2.81605e-08,2.78161483750051e-08,5.51928e-06,2.78161e-08,2.77723689583501e-08,5.51059e-06,2.77724e-08,2.77682596084183e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,1,1,0.00243946,0.01,0.00243946,0.01,20.6118,0.01,0.00242865547080329,5.01403,0.00242866,0.000204538451556033,0.422462,0.000204538,4.68394328731082e-05,0.0967472,4.68394e-05,4.81023399313423e-06,0.00993565,4.81023e-06,1.25622309507538e-06,0.00259476,1.25622e-06,1.18417577106583e-06,0.00244595,1.18418e-06,1.18180420059605e-06,0.00244105,1.1818e-06,1.18106399478391e-06,0.00243952,1.18106e-06,1.18103746483951e-06,0.00243946,1.18104e-06,1.18104e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2,2,0.151633,0.01,0.151633,0.01,19.9876,0.01,0.000727798789422253,1.46168,0.000727799,7.61575046860152e-05,0.153092,7.61575e-05,7.5569603438819e-05,0.15192,7.55696e-05,7.54435625744406e-05,0.151668,7.54436e-05,7.5430103536717e-05,0.151642,7.54301e-05,7.54262932413647e-05,0.151634,7.54263e-05,7.54258425234729e-05,0.151633,7.54258e-05,7.54258e-05,0.151633,7.54258e-05,7.54258e-05,0.151633,7.54258e-05,7.54258e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,1,3,3.16765e-05,0.01,3.16765e-05,0.01,2.83795,0.01,0.000295371841392662,0.0839983,0.000295372,4.49462069805142e-05,0.0127852,4.49462e-05,1.40513877389298e-06,0.000399708,1.40514e-06,1.39845478154686e-07,3.97809e-05,1.39845e-07,1.15989918385979e-07,3.29949e-05,1.1599e-07,1.11787637821361e-07,3.17995e-05,1.11788e-07,1.11434687507544e-07,3.16991e-05,1.11435e-07,1.1136046045687e-07,3.1678e-05,1.1136e-07,1.11354952383234e-07,3.16764e-05,1.11355e-07,1.11355278821462e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2,3,1.72602e-05,0.01,1.72602e-05,0.01,2.27676,0.01,0.000828614152353781,0.189865,0.000828614,0.00018718857421772,0.0429228,0.000187189,7.1388624298157e-06,0.00163707,7.13886e-06,9.59224494127319e-07,0.00021997,9.59224e-07,1.06180339001437e-07,2.43494e-05,1.0618e-07,8.15751059614037e-08,1.87069e-05,8.15751e-08,7.59369987196002e-08,1.7414e-05,7.5937e-08,7.54234129886267e-08,1.72962e-05,7.54234e-08,7.52884472604457e-08,1.72652e-05,7.52884e-08,7.526901564497e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,1,1,0.002236,0.01,0.002236,0.01,21.758,0.01,0.00223661483915454,4.87448,0.00223661,0.000459263860793433,1.00126,0.000459264,5.41108071667995e-05,0.117978,5.41108e-05,7.40770110740905e-06,0.0161512,7.4077e-06,2.5244429363036e-06,0.00550411,2.52444e-06,1.34262400081628e-06,0.00292736,1.34262e-06,1.03530194413772e-06,0.0022573,1.0353e-06,1.02775432454278e-06,0.00224084,1.02775e-06,1.02576576416473e-06,0.0022365,1.02577e-06,1.02557398788755e-06,0.00223609,1.02557e-06,1.0255373362146e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,2,2,0.189317,0.01,0.189317,0.01,42.2749,0.01,0.000243090169195231,1.03046,0.00024309,9.02726480436519e-05,0.382795,9.02726e-05,4.98938938880782e-05,0.211587,4.98939e-05,4.57311698969244e-05,0.193936,4.57312e-05,4.48921970270728e-05,0.190378,4.48922e-05,4.46521380754027e-05,0.18936,4.46521e-05,4.46438144358676e-05,0.189325,4.46438e-05,4.46422877662147e-05,0.189319,4.46423e-05,4.46419181789891e-05,0.189317,4.46419e-05,4.46419e-05,0.189317,4.46419e-05,4.46419e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
