ParName   Value   Gradient
MGparm[2]      3.28157      652.811
MGparm[3]      28.2451       7383.1
MGparm[4]      0.64832       1602.9
MGparm[5]     0.499223     -20.4467
MGparm[6]    0.0130942     -64.1912
SR_parm[1]      13.2615      3266.85
SR_parm[6]    -0.155832      4739.78
recdev_early(1977)    -0.643287     -243.082
recdev_early(1978)     -1.29842     -71.0572
recdev_early(1979)      3.14995      821.559
recdev_early(1980)    0.0649208      558.332
recdev_early(1981)     0.710174       326.02
recdev_early(1982)      1.08121      -262.76
recdev1(1983)     0.703208     -882.782
recdev1(1984)     0.119262     -1011.82
recdev1(1985)     0.546132     -1153.15
recdev1(1986)      1.20895     -1169.25
recdev1(1987)     0.218464     -1166.74
recdev1(1988)      1.26255     -418.967
recdev1(1989)      0.69784     -792.871
recdev1(1990)      1.15452     -1712.12
recdev1(1991)     0.212396     -711.536
recdev1(1992)      1.27275      -145.55
recdev1(1993)      1.03156     -1204.09
recdev1(1994)     0.925904      1205.65
recdev1(1995)      1.16642     -1257.22
recdev1(1996)      1.85268       2916.8
recdev1(1997)      1.84094      126.956
recdev1(1998)    0.0497489      672.597
recdev1(1999)    -0.839938      1768.08
recdev1(2000)     -2.37966      926.939
recdev1(2001)     -3.95583      114.747
recdev1(2002)     -2.17431      2476.83
recdev1(2003)     -1.94003       410.18
recdev1(2004)     -1.35451      2119.86
recdev1(2005)     -1.63492      1.07952
recdev1(2006)     0.043001      1372.84
recdev1(2007)    -0.997353     -97.2845
recdev1(2008)    -0.975158     -231.079
recdev1(2009)    -0.102884     -191.366
recdev1(2010)    -0.234392     -321.133
recdev1(2011)      1.55484     -1048.97
recdev1(2012)     -3.39565     -293.796
recdev1(2013)      5.01555     -45.7072
recdev1(2014)       4.9209     -145.712
recdev1(2015)     -1.71517     -312.214
recdev1(2016)     -2.16508     -269.311
recdev1(2017)     -1.74126      331.798
recdev1(2018)    -0.191476     -518.738
Fcast_recruitments(2019)     0.462671      -80.369
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
init_F[1]      10.2727     -156.788
selparm[1]      15.1769      14069.8
selparm[2]      3.26133     -795.419
selparm[3]      1.00004  0.000149784
selparm[4]      2.94878      4.41482
selparm[5]    -0.996603      43001.5
selparm[6]     -1.82287      43819.6
selparm[7]    -0.236066      43873.6
selparm[8]       1.6663      43364.6
selparm[9]      1.42674      43194.3
selparm[10]     -2.35302     -45.3168
selparm[11]     -2.31968     -15.5776
selparm[13]    0.0823302      10152.3
selparm[14]     -4.56198     -838.334
selparm[15]       2.4786      -197.23
selparm[16]     -1.73787     -341.569
selparm[17]      2.04866      -336.94
selparm[18]     -2.60291     -26.8657
selparm[19]    -0.646482     -10.9376
selparm[20]      -6.9806   -0.0179647
selparm[21]      3.19781      6426.11
selparm[22]     0.899639      434.475
parm_dev[1](1982)     0.308208      27.3288
parm_dev[1](1983)    -0.280288      37.6246
parm_dev[1](1984)     -1.38661      8.04965
parm_dev[1](1985)    -0.891931     -3.09679
parm_dev[1](1986)     -1.15695      -37.194
parm_dev[1](1987)     -1.14415     -24.3955
parm_dev[1](1988)     -1.29298     -19.9319
parm_dev[1](1989)    -0.636304     -26.1137
parm_dev[1](1990)    -0.494566     -20.9474
parm_dev[1](1991)    -0.167672     -12.8509
parm_dev[1](1992)     -1.03264     -72.9799
parm_dev[1](1993)    -0.924206      15.2288
parm_dev[1](1994)    -0.593887      81.3423
parm_dev[1](1995)     -1.28607      68.3706
parm_dev[1](1996)     -2.46491      152.458
parm_dev[1](1997)     -1.17402      66.8133
parm_dev[1](1998)     -1.44421      370.437
parm_dev[1](1999)     -1.19565      298.531
parm_dev[1](2000)      1.55799       148.13
parm_dev[1](2001)      1.40426       70.918
parm_dev[1](2002)  -0.00718178      198.984
parm_dev[1](2003)    -0.834109      141.684
parm_dev[1](2004)    -0.712772      184.807
parm_dev[1](2005)    -0.696663      45.8268
parm_dev[1](2006)    -0.661949      164.317
parm_dev[1](2007)    -0.501234      93.9796
parm_dev[1](2008)    -0.642938      146.872
parm_dev[1](2009)      1.31908      39.9577
parm_dev[1](2010)      1.64467     -13.6068
