"year","seas","fleet","catch_target","F_target","catch_implemented","F_implemented","catch_achieved_1","F_achieved_1","F_update_1","catch_achieved_2","F_achieved_2","F_update_2","catch_achieved_3","F_achieved_3","F_update_3","catch_achieved_4","F_achieved_4","F_update_4","catch_achieved_5","F_achieved_5","F_update_5","catch_achieved_6","F_achieved_6","F_update_6","catch_achieved_7","F_achieved_7","F_update_7","catch_achieved_8","F_achieved_8","F_update_8","catch_achieved_9","F_achieved_9","F_update_9","catch_achieved_10","F_achieved_10","F_update_10","catch_achieved_11","F_achieved_11","F_update_11","catch_achieved_12","F_achieved_12","F_update_12","catch_achieved_13","F_achieved_13","F_update_13","catch_achieved_14","F_achieved_14","F_update_14","catch_achieved_15","F_achieved_15","F_update_15","catch_achieved_16","F_achieved_16","F_update_16","catch_achieved_17","F_achieved_17","F_update_17","catch_achieved_18","F_achieved_18","F_update_18","catch_achieved_19","F_achieved_19","F_update_19","catch_achieved_20","F_achieved_20","F_update_20"
2020,1,1,338.722683029308,0.3,338.722683029308,0.3,241.624,0.3,0.395837754057365,314.877,0.395838,0.42173018144292,334.416,0.42173,0.426330282988381,337.874,0.42633,0.427346996403437,338.638,0.427347,0.427427886464235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,2,2,9140.28965486031,0.3,9140.28965486031,0.3,374.974,0.3,1.5,1494.03,1.5,1.5,1486.6,1.5,1.5,1485.28,1.5,1.5,1484.99,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,1,3,67.1786970345188,0.132370899004384,67.1786970345188,0.132370899004384,33.4413,0.132371,0.262615759809305,64.4361,0.262616,0.272288452076517,66.6364,0.272288,0.2742461198166,67.0813,0.274246,0.274574129146377,67.1555,0.274574,0.274651110511803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,2,3,1.16070701680261,0.01,1.16070701680261,0.01,1.81912,0.01,0.00706131762328308,1.16091,0.00706132,0.00706014598020479,1.15435,0.00706015,0.00709744056559619,1.15918,0.00709744,0.00710519365080033,1.16022,0.00710519,0.00710777236193001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,1,1,120.085410961643,0.151504882065405,120.085410961643,0.151504882065405,172.749,0.151505,0.114714226525173,131.627,0.114714,0.105610477623144,121.371,0.10561,0.104658234239116,120.296,0.104658,0.104479972450951,120.095,0.10448,0.10447206127819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2,2,6644.40480404643,0.3,6644.40480404643,0.3,527.655,0.3,1.5,2257.62,1.5,1.5,2261.53,1.5,1.5,2261.94,1.5,1.5,2262.02,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2,3,0.844965195795447,0.00727972702738364,0.844965195795447,0.00727972702738364,1.00926,0.00727973,0.00628603237023169,0.810106,0.00628603,0.00653782181488606,0.8436,0.00653782,0.00654831127570006,0.845066,0.00654831,0.00654758097423329,0.844993,0.00654758,0.00654739534499835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,2,2,8304.69510702867,0.3,8304.69510702867,0.3,1452.9,0.3,1.48485920774013,6223.54,1.48486,1.5,6273.68,1.5,1.5,6273.58,1.5,1.5,6273.56,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,1,3,46.4702805803597,0.01,46.4702805803597,0.01,2.22115,0.01,0.162187502146788,35.4168,0.162188,0.211730845761433,45.9837,0.211731,0.21362174394039,46.3847,0.213622,0.214013842281339,46.4678,0.214014,0.214023905415819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,2,3,2.11815065474218,0.0250679099695512,2.11815065474218,0.0250679099695512,4.49555,0.0250679,0.0142464638704018,2.17197,0.0142465,0.0139624425409646,2.10129,0.0139624,0.0140512568373886,2.11372,0.0140513,0.0140801811299782,2.11787,0.0140802,0.0140817094366698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,1,1,4223.936565,0.01,4223.936565,0.01,71.4312,0.01,0.577300901750907,3840.34,0.577301,0.626862894692157,4147.33,0.626863,0.636752163999205,4208.19,0.636752,0.638784365914008,4220.67,0.638784,0.639163928396889,4223.01,0.639164,0.639278144429249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,2,6195.106962,0.3,6195.106962,0.3,7397.42,0.3,0.262616741458051,6176.98,0.262617,0.263387352864585,6168.87,0.263387,0.264423721343603,6187.44,0.264424,0.26467843106419,6192.17,0.264678,0.264772850910384,6194.13,0.264773,0.264812545725721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,1,3,8166.277359,0.3,8166.277359,0.3,108.207,0.3,1.5,463.238,1.5,1.5,460.657,1.5,1.5,460.145,1.5,1.5,460.04,1.5,1.5,460.02,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,3,187.730514,0.3,187.730514,0.3,97.0629,0.3,0.535891671725967,132.158,0.535892,0.735162790407321,177.734,0.735163,0.768370782647257,185.069,0.768371,0.77834361500364,187.299,0.778344,0.779860363410568,187.634,0.77986,0.780223447429952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1,1,32300.98155,0.3,32300.98155,0.3,13218.2,0.3,0.64185469813288,26998,0.641855,0.754725705843663,31327.9,0.754726,0.775375694342416,32107.6,0.775376,0.779395116513634,32258.9,0.779395,0.780168858864168,32288,0.780169,0.780447821379828,32298.5,0.780448,0.7804955654728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
