"Seas","SpawnBio","Recruit_0","retainB_1","retainN_1","retainB_2","retainN_2","retainB_3","retainN_3","deadB_1","deadN_1","deadB_2","deadN_2","deadB_3","deadN_3","F_1","F_2","F_3","SPRratio","rec_dev","raw_rec_dev","year","model_run","iteration","scenario"
1,NA,0,5.78,63.4079,0,0,0,0,5.78,63.4079,0,0,0,0,7.52457e-05,0,0,0,-0.735996,-0.735996,1981,"margComp_20210921_OM",7,"margComps_highDatQual"
2,214236,0,0,0,57.15,620.774,0,0,0,0,57.15,620.774,0,0,0,0.000641145,0,0,NA,NA,1981,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,1577880,73.94,763.742,0,0,0,0,73.94,763.742,0,0,0,0,0.0009981,0,0,0,0.523686,0.523686,1982,"margComp_20210921_OM",7,"margComps_highDatQual"
2,229801,0,0,0,412.76,4119.09,0,0,0,0,412.76,4119.09,0,0,0,0.00469188,0,0,NA,NA,1982,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,5433840,213.19,2214.57,0,0,0,0,213.19,2214.57,0,0,0,0,0.00331673,0,0,0,0.0114905,0.0114905,1983,"margComp_20210921_OM",7,"margComps_highDatQual"
2,226643,0,0,0,159.12,1922.05,0,0,0,0,159.12,1922.05,0,0,0,0.00184336,0,0,NA,NA,1983,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,3052300,75.39,857.368,0,0,0,0,75.39,857.368,0,0,0,0,0.000864981,0,0,0,-0.501846,-0.501846,1984,"margComp_20210921_OM",7,"margComps_highDatQual"
2,340828,0,0,0,3495.8,34979.2,0,0,0,0,3495.8,34979.2,0,0,0,0.0236821,0,0,NA,NA,1984,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,2062240,819.43,7211.6,0,0,0,0,819.43,7211.6,0,0,0,0,0.00615233,0,0,0,-0.10399,-0.10399,1985,"margComp_20210921_OM",7,"margComps_highDatQual"
2,387652,0,0,0,1019,8562.61,0,0,0,0,1019,8562.61,0,0,0,0.00703271,0,0,NA,NA,1985,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,3184320,387.71,3149.72,0,0,0,0,387.71,3149.72,0,0,0,0,0.00346071,0,0,0,-0.10527,-0.10527,1986,"margComp_20210921_OM",7,"margComps_highDatQual"
2,349592,0,0,0,2278.89,20255.5,0,0,0,0,2278.89,20255.5,0,0,0,0.0184858,0,0,NA,NA,1986,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,3060610,2247.31,20803.2,0,0,0,0,2247.31,20803.2,0,0,0,0,0.0251222,0,0,0,0.142561,0.142561,1987,"margComp_20210921_OM",7,"margComps_highDatQual"
2,357963,0,0,0,3639.76,33166.7,0,0,0,0,3639.76,33166.7,0,0,0,0.0298501,0,0,NA,NA,1987,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,3956840,2179.91,20166.8,0,0,0,0,2179.91,20166.8,0,0,0,0,0.0221283,0,0,0,-0.803982,-0.803982,1988,"margComp_20210921_OM",7,"margComps_highDatQual"
2,335695,0,0,0,2614.75,26601.5,0,0,0,0,2614.75,26601.5,0,0,0,0.0213865,0,0,NA,NA,1988,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,1498050,7290.44,70286.6,0,0,0,0,7290.44,70286.6,0,0,0,0,0.0694458,0,0,0,-0.877681,-0.877681,1989,"margComp_20210921_OM",7,"margComps_highDatQual"
2,374134,0,0,0,8031.52,69236.8,0,0,0,0,8031.52,69236.8,0,0,0,0.0594288,0,0,NA,NA,1989,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,1450140,6158.41,50931.1,0,0,0,0,6158.41,50931.1,0,0,0,0,0.0627357,0,0,0,0.319074,0.319074,1990,"margComp_20210921_OM",7,"margComps_highDatQual"
2,298285,0,0,0,14443.5,125445,0,0,0,0,14443.5,125445,0,0,0,0.163245,0,0,NA,NA,1990,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,4389130,24698,237856,0,0,0,0,24698,237856,0,0,0,0,0.459384,0,0,0,0.474318,0.474318,1991,"margComp_20210921_OM",7,"margComps_highDatQual"
2,215257,0,0,0,10323.5,117376,0,0,0,0,10323.5,117376,0,0,0,0.15766,0,0,NA,NA,1991,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,4409670,43433.3,623992,0,0,4.08,22.6625,43433.3,623992,0,0,4.08,22.6625,0.979184,0,8.55878e-05,0,1.50387,1.50387,1992,"margComp_20210921_OM",7,"margComps_highDatQual"
2,169917,0,0,0,30776.4,470349,0,0,0,0,30776.4,470349,0,0,0,0.48412,0,0,NA,NA,1992,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,10887300,822.8,12791.2,0,0,0,0,822.8,12791.2,0,0,0,0,0.0133119,0,0,0,1.43527,1.43527,1993,"margComp_20210921_OM",7,"margComps_highDatQual"
2,208861,0,0,0,11345.8,180841,0,0,0,0,11345.8,180841,0,0,0,0.1043,0,0,NA,NA,1993,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,11353100,8838.65,138396,0,0,0,0,8838.65,138396,0,0,0,0,0.0743543,0,0,0,0.407194,0.407194,1994,"margComp_20210921_OM",7,"margComps_highDatQual"
2,328474,0,0,0,39748.4,616467,0,0,0,0,39748.4,616467,0,0,0,0.206047,0,0,NA,NA,1994,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,4986540,5993.28,84593.6,0,0,22.68,181.07,5993.28,84593.6,0,0,22.68,181.07,0.0318809,0,0.000531072,0,0.701857,0.701857,1995,"margComp_20210921_OM",7,"margComps_highDatQual"
2,473019,0,0,0,26565.7,346730,0,0,0,0,26565.7,346730,0,0,0,0.111055,0,0,NA,NA,1995,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,7622310,11917.3,142202,0,0,43.54,346.14,11917.3,142202,0,0,43.54,346.14,0.0602644,0,0.000646337,0,1.2056,1.2056,1996,"margComp_20210921_OM",7,"margComps_highDatQual"
2,511116,0,0,0,19158.7,229663,0,0,0,0,19158.7,229663,0,0,0,0.0915712,0,0,NA,NA,1996,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,12917100,13018.2,165852,0,0,28.04,207.144,13018.2,165852,0,0,28.04,207.144,0.0833386,0,0.000288263,0,1.25387,1.25387,1997,"margComp_20210921_OM",7,"margComps_highDatQual"
2,522174,0,0,0,24527.6,333644,0,0,0,0,24527.6,333644,0,0,0,0.114302,0,0,NA,NA,1997,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,13642100,18925.1,276363,0,0,562.64,3943.8,18925.1,276363,0,0,562.64,3943.8,0.1063,0,0.00517802,0,-0.06108,-0.06108,1998,"margComp_20210921_OM",7,"margComps_highDatQual"
2,567686,0,0,0,63278.5,940473,0,0,0,0,63278.5,940473,0,0,0,0.249162,0,0,NA,NA,1998,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,3751070,14996.2,208998,0,0,1154.79,8264.72,14996.2,208998,0,0,1154.79,8264.72,0.0654996,0,0.0110016,0,-0.0865494,-0.0865494,1999,"margComp_20210921_OM",7,"margComps_highDatQual"
2,656735,0,0,0,58341.3,729856,0,0,0,0,58341.3,729856,0,0,0,0.204907,0,0,NA,NA,1999,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,3799280,23693.5,266347,0,0,17923.1,129141,23693.5,266347,0,0,17923.1,129141,0.111262,0,0.16079,0,0.814664,0.814664,2000,"margComp_20210921_OM",7,"margComps_highDatQual"
2,593201,0,0,0,35179.2,369601,0,0,0,0,35179.2,369601,0,0,0,0.17684,0,0,NA,NA,2000,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,9113500,11550.5,127647,0,0,25682.7,173156,11550.5,127647,0,0,25682.7,173156,0.0919806,0,0.210623,0,-0.0185637,-0.0185637,2001,"margComp_20210921_OM",7,"margComps_highDatQual"
2,476586,0,0,0,41118.5,510028,0,0,0,0,41118.5,510028,0,0,0,0.264763,0,0,NA,NA,2001,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,3717380,16562.7,227748,0,0,36123,226342,16562.7,227748,0,0,36123,226342,0.14432,0,0.335089,0,2.2769,2.2769,2002,"margComp_20210921_OM",7,"margComps_highDatQual"
2,446951,0,0,0,36130.7,446584,0,0,0,0,36130.7,446584,0,0,0,0.213683,0,0,NA,NA,2002,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,36159400,10340.6,138639,0,0,39860.7,251934,10340.6,138639,0,0,39860.7,251934,0.0737814,0,0.510591,0,1.6513,1.6513,2003,"margComp_20210921_OM",7,"margComps_highDatQual"
2,430565,0,0,0,21300.5,375128,0,0,0,0,21300.5,375128,0,0,0,0.101382,0,0,NA,NA,2003,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,19105400,17049,317550,0,0,47747.1,348006,17049,317550,0,0,47747.1,348006,0.0714422,0,0.707979,0,1.74061,1.74061,2004,"margComp_20210921_OM",7,"margComps_highDatQual"
2,622359,0,0,0,25249.9,433459,0,0,0,0,25249.9,433459,0,0,0,0.0560826,0,0,NA,NA,2004,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,23297400,13803,218286,0,0,54254.3,482394,13803,218286,0,0,54254.3,482394,0.0330706,0,0.705756,0,0.594812,0.594812,2005,"margComp_20210921_OM",7,"margComps_highDatQual"
2,818868,0,0,0,30364.2,488007,0,0,0,0,30364.2,488007,0,0,0,0.0666969,0,0,NA,NA,2005,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,7898120,20726.2,319816,0,0,41220.9,398941,20726.2,319816,0,0,41220.9,398941,0.0534228,0,0.323905,0,0.317084,0.317084,2006,"margComp_20210921_OM",7,"margComps_highDatQual"
2,907491,0,0,0,39900.3,585892,0,0,0,0,39900.3,585892,0,0,0,0.0861438,0,0,NA,NA,2006,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,6107880,46228.2,663629,0,0,48237,437102,46228.2,663629,0,0,48237,437102,0.150527,0,0.263163,0,-0.168879,-0.168879,2007,"margComp_20210921_OM",7,"margComps_highDatQual"
2,816560,0,0,0,42910.2,582861,0,0,0,0,42910.2,582861,0,0,0,0.149642,0,0,NA,NA,2007,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,3677900,30249.2,403929,0,0,39800.1,344393,30249.2,403929,0,0,39800.1,344393,0.164652,0,0.211651,0,0.475037,0.475037,2008,"margComp_20210921_OM",7,"margComps_highDatQual"
2,643293,0,0,0,41198.5,510439,0,0,0,0,41198.5,510439,0,0,0,0.204036,0,0,NA,NA,2008,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,6627440,14044.9,185330,0,0,46210.9,378887,14044.9,185330,0,0,46210.9,378887,0.126714,0,0.293396,0,0.370068,0.370068,2009,"margComp_20210921_OM",7,"margComps_highDatQual"
2,458972,0,0,0,31146.5,432548,0,0,0,0,31146.5,432548,0,0,0,0.249062,0,0,NA,NA,2009,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,5417900,11274,164057,0,0,54086,415631,11274,164057,0,0,54086,415631,0.118661,0,0.489195,0,-1.86108,-1.86108,2010,"margComp_20210921_OM",7,"margComps_highDatQual"
2,373638,0,0,0,27267.7,372228,0,0,0,0,27267.7,372228,0,0,0,0.192606,0,0,NA,NA,2010,"margComp_20210921_OM",7,"margComps_highDatQual"
