"Seas","SpawnBio","Recruit_0","retainB_1","retainN_1","retainB_2","retainN_2","retainB_3","retainN_3","deadB_1","deadN_1","deadB_2","deadN_2","deadB_3","deadN_3","F_1","F_2","F_3","SPRratio","rec_dev","raw_rec_dev","year","model_run","iteration","scenario"
1,NA,0,5.78,63.6141,0,0,0,0,5.78,63.6141,0,0,0,0,7.43184e-05,0,0,0.000547941,-0.687491,-0.687491,1981,"margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
2,223546,0,0,0,57.15,608.674,0,0,0,0,57.15,608.674,0,0,0,0.000628351,0,0,NA,NA,1981,"margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
1,NA,1637050,73.94,758.598,0,0,0,0,73.94,758.598,0,0,0,0,0.00104303,0,0,0.00467177,0.500114,0.500114,1982,"margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
2,231410,0,0,0,412.76,4075.78,0,0,0,0,412.76,4075.78,0,0,0,0.00498217,0,0,NA,NA,1982,"margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
1,NA,5150910,213.19,2232.63,0,0,0,0,213.19,2232.63,0,0,0,0,0.00364697,0,0,0.00418496,0.0287115,0.0287115,1983,"margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
2,228781,0,0,0,159.12,1871.13,0,0,0,0,159.12,1871.13,0,0,0,0.00193986,0,0,NA,NA,1983,"margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
1,NA,3017870,75.39,855.065,0,0,0,0,75.39,855.065,0,0,0,0,0.000923155,0,0,0.0190773,-0.47704,-0.47704,1984,"margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
2,331527,0,0,0,3495.8,34871.9,0,0,0,0,3495.8,34871.9,0,0,0,0.0252412,0,0,NA,NA,1984,"margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
1,NA,2014370,819.43,7157.08,0,0,0,0,819.43,7157.08,0,0,0,0,0.0063682,0,0,0.00954315,-0.114236,-0.114236,1985,"margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
2,384139,0,0,0,1019,8369.62,0,0,0,0,1019,8369.62,0,0,0,0.00719557,0,0,NA,NA,1985,"margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
1,NA,3021210,387.71,3113,0,0,0,0,387.71,3113,0,0,0,0,0.00373419,0,0,0.016744,-0.0219464,-0.0219464,1986,"margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
2,354107,0,0,0,2278.89,19400.5,0,0,0,0,2278.89,19400.5,0,0,0,0.0192706,0,0,NA,NA,1986,"margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
1,NA,3217700,2247.31,20734.5,0,0,0,0,2247.31,20734.5,0,0,0,0,0.0269842,0,0,0.0427388,0.135731,0.135731,1987,"margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
2,341969,0,0,0,3639.76,34197.1,0,0,0,0,3639.76,34197.1,0,0,0,0.0325556,0,0,NA,NA,1987,"margCompsOMfixedSelexEM_EM_2020","7","margComps_SardineHCR"
